session,participant,part_label,clicked_button,market_bonus,forecast_bonus,risk_bonus,quiz_bonus,total_bonus,showup,total_payment
v0m3grox,dkg1nkbd,v0m3grox_16T,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
v0m3grox,1ovi5twf,v0m3grox_14P,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
n9slx1c3,2slk8ma1,n9slx1c3_53O,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
n9slx1c3,k70jlcxk,n9slx1c3_32X,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
n9slx1c3,3kifwb2z,n9slx1c3_62F,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
n9slx1c3,tx2cdzch,n9slx1c3_30J,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
n9slx1c3,l25qvrng,n9slx1c3_39I,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
n9slx1c3,6t0vcv3d,n9slx1c3_17J,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
n9slx1c3,lnkqdowe,n9slx1c3_69Z,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
n9slx1c3,iy7zp4kb,n9slx1c3_82D,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
n9slx1c3,ynnpfehe,n9slx1c3_06Q,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
n9slx1c3,pjrzzpo0,n9slx1c3_22G,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
91yoqr0i,4bodkwz0,91yoqr0i_10A,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
91yoqr0i,q0meb8fr,91yoqr0i_31J,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
91yoqr0i,kyr0hdcu,91yoqr0i_64D,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
91yoqr0i,ntn9mt0b,91yoqr0i_11O,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
91yoqr0i,a48rg21e,91yoqr0i_10V,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
91yoqr0i,qucp5iqg,91yoqr0i_24Z,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
91yoqr0i,zz7ujz64,91yoqr0i_56W,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
91yoqr0i,cmyzxjx6,91yoqr0i_91I,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
91yoqr0i,v1pzes19,91yoqr0i_88G,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
91yoqr0i,wfonsd0s,91yoqr0i_41J,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
tnrp4x8n,lyp7jali,tnrp4x8n_11C,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
tnrp4x8n,fw5voxye,tnrp4x8n_51Y,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
tnrp4x8n,sll8wt0g,tnrp4x8n_74L,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
tnrp4x8n,xir2bxi8,tnrp4x8n_33T,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
tnrp4x8n,wf3e1c1j,tnrp4x8n_02A,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
tnrp4x8n,ifoea8bp,tnrp4x8n_15G,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
tnrp4x8n,dzldtjsq,tnrp4x8n_53Q,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
tnrp4x8n,g0uyqvlu,tnrp4x8n_01W,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
tnrp4x8n,1m1bgaqm,tnrp4x8n_60L,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
tnrp4x8n,bzy6ccza,tnrp4x8n_49O,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
hbopnibx,8ozo857x,hbopnibx_97M,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
hbopnibx,rf4xgfm4,hbopnibx_54R,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
hbopnibx,1obnip5r,hbopnibx_09R,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
