part_label,page,round,ton_mean,ton_median,ton_std,ton_range,ton_iqr,ton_peak_cnt,ton_auc,ton_skewness,ton_kurtosis,ton_variance,ton_peaks_avg,pha_mean,pha_median,pha_std,pha_range,pha_iqr,pha_peak_cnt,pha_auc,pha_skewness,pha_kurtosis,pha_variance,pha_peaks_avg
07C_2024-04-03,ForecastPage,1,0.5644597760695825,0.526020159205301,0.1895214129660166,0.6013175356848527,0.32650886978088284,1,69.99301223262823,0.17394400365023127,-1.193764196267698,0.035918365972635403,0.8604619199652185,0.003044652075859334,0.0033355991886226,0.13601098092283662,0.6084472799262148,0.14841633335383314,29,0.37753685740655746,-0.4318211766593146,0.10026509981286535,0.018498986931592225,0.060912950410210165
07C_2024-04-03,ForecastPage,3,0.08327567980533615,0.0732269868565178,0.09861795892316863,0.3675447970522085,0.15980136476466328,0,9.993081576640337,0.09629477558922411,-1.0260506787856873,0.009725501822171776,0,-0.0004154640370789464,-0.00326995406729525,0.029644208416399143,0.1572937640373498,0.047532776111964825,35,-0.04985568444947357,0.10150217757016206,-0.3976986411042147,0.0008787790926349097,0.02980892892093099
07C_2024-04-03,ForecastPage,4,0.04990443089949573,0.0588497584843615,0.04474377285297526,0.17042502250564429,0.0334913708031405,2,6.18814943153747,-0.6628400516436024,-0.07279208437687057,0.002002005209118646,0.09488377802015505,-0.0001043906129454212,-0.00370786603632565,0.030556376348373188,0.1887212117061452,0.038851202593513295,34,-0.012944436005232228,0.27548425373096896,0.6427980367234762,0.0009336921355434203,0.026652521806498713
07C_2024-04-03,ForecastPage,5,0.3873336798172342,0.4889824867688709,0.2437358696034314,0.7451993545185351,0.4436619628380375,1,48.029376297337045,-0.5936191887158148,-1.155057007259078,0.059407174131340924,0.6629000044036328,-0.0007335213901936071,-0.0013829520016400499,0.03286569097588369,0.1816413489491511,0.043705200932738976,40,-0.09095665238400728,0.0271357855359925,0.18493825164487365,0.0010801536433222827,0.026172370883595687
07C_2024-04-03,ForecastPage,6,0.378892708999642,0.3924165111497907,0.20654325960552378,0.6758781949509595,0.32539996203368515,1,45.46712507995704,-0.09908899638466312,-1.0940107798791692,0.042660118088474794,0.707960073894676,0.004077148387760555,0.0063683173608979,0.1070790572446638,0.621663689478859,0.0972831568991625,39,0.4892578065312666,-0.2602837319444979,1.2631242082937,0.011465924500405985,0.05323018465202514
07C_2024-04-03,ForecastPage,7,0.913269203417508,0.8780235463455368,0.1413590542689507,0.4640449619834991,0.13060053570869656,2,113.24538122377099,1.0489798272341524,-0.17710414808833486,0.01998238222381215,1.0494543051592131,-0.0013457909149568856,0.0003779028053531,0.06744694462101841,0.6140587147852009,0.057144120732716575,37,-0.1668780734546538,-3.053517826547291,19.17380367837914,0.004549090338710725,0.03599564909120973
07C_2024-04-03,ForecastPage,8,0.8775109599370104,0.8773703894418635,0.008575967535432263,0.042814428383223024,0.009015412468606931,2,105.30131519244125,1.0615848406796442,1.9041423955526957,7.354721916878813e-05,0.8800293717109537,6.164375096962364e-05,0.00382933563204055,0.02996204429747504,0.19503349799004632,0.03657659821240285,34,0.0073972501163548365,-0.08765273045743745,0.8916668935482717,0.0008977240984838567,0.028638072230948906
07C_2024-04-03,ForecastPage,9,1.3604245672620938,1.3856035702534086,0.06399133985440338,0.23351074617282075,0.025423347727043577,2,163.25094807145126,-1.6621193597002764,1.3602160628030386,0.004094891576361754,1.3990413884698318,9.946895932726856e-05,-0.0071492492880056,0.03008714664967211,0.2020653325308825,0.041055759402668125,37,0.011936275119272227,0.5077129325979534,1.8457726963636683,0.0009052363935188756,0.02387565837541543
07C_2024-04-03,ForecastPage,10,0.3191349933792761,0.3030317465239239,1.1176298622015277,2.545895851513128,2.377024587796418,3,39.572739179030236,0.0051984384682539275,-1.8682265484736784,1.2490965088846058,0.776780887258344,0.004925662158910039,0.0127329223267572,0.18117162568194145,1.3468158184384358,0.10427866751846823,34,0.6107821077048448,0.2940336122812683,5.222179604915908,0.0328231579522375,0.0577193943405161
07C_2024-04-03,ForecastPage,11,1.7966833247657854,1.9209613381284338,0.20484338069282126,0.5655848017072314,0.399130713320728,0,215.60199897189426,-0.5873427348938186,-1.3652880733130575,0.0419608106136641,0,0.005493742072530453,0.0031938979619934,0.054461544991211204,0.2739310056177915,0.06823712892243622,35,0.6592490487036544,0.6073254058215543,0.24785719577397014,0.002966059882829722,0.03152144358295904
07C_2024-04-03,ForecastPage,12,1.3456583882556745,1.357903797784175,0.10520762454507035,0.3235651756287108,0.18784299685832972,1,161.47900659068094,-0.26804679641355694,-1.1613877139873667,0.011068644262416489,1.4928991477868878,4.9360742776298024e-05,0.0020272436592101498,0.040194832047413344,0.2763865931024011,0.04806746405975683,38,0.0059232891331557624,-0.1523166673838212,1.3707610428607682,0.0016156245233197668,0.025173920951740474
07C_2024-04-03,ForecastPage,13,1.7258684214373314,1.7226972068018962,0.019432871127785776,0.09079870401439738,0.03292007736883784,3,214.0076842582291,0.152440964048104,-0.5599075798887649,0.00037763648026912995,1.7394753447499085,-0.0012288081429709268,2.6650266358437067e-05,0.03148853164553506,0.1831502829602403,0.048750453870263846,39,-0.15237220972839494,-0.0649422692116534,-0.08197556506129011,0.000991527625191863,0.027973388755300633
