timestamp_unix,timestamp_iso,participant_full_id,prv_rmssd_ms,missing_value_reason
1720742400000,2024-07-12T00:00:00Z,1211-1-1-0712,,device_not_recording
1720742460000,2024-07-12T00:01:00Z,1211-1-1-0712,,device_not_recording
1720742520000,2024-07-12T00:02:00Z,1211-1-1-0712,,device_not_recording
1720742580000,2024-07-12T00:03:00Z,1211-1-1-0712,,device_not_recording
1720742640000,2024-07-12T00:04:00Z,1211-1-1-0712,,device_not_recording
1720742700000,2024-07-12T00:05:00Z,1211-1-1-0712,,device_not_recording
1720742760000,2024-07-12T00:06:00Z,1211-1-1-0712,,device_not_recording
1720742820000,2024-07-12T00:07:00Z,1211-1-1-0712,,device_not_recording
1720742880000,2024-07-12T00:08:00Z,1211-1-1-0712,,device_not_recording
1720742940000,2024-07-12T00:09:00Z,1211-1-1-0712,,device_not_recording
1720743000000,2024-07-12T00:10:00Z,1211-1-1-0712,,device_not_recording
1720743060000,2024-07-12T00:11:00Z,1211-1-1-0712,,device_not_recording
1720743120000,2024-07-12T00:12:00Z,1211-1-1-0712,,device_not_recording
1720743180000,2024-07-12T00:13:00Z,1211-1-1-0712,,device_not_recording
1720743240000,2024-07-12T00:14:00Z,1211-1-1-0712,,device_not_recording
1720743300000,2024-07-12T00:15:00Z,1211-1-1-0712,,device_not_recording
1720743360000,2024-07-12T00:16:00Z,1211-1-1-0712,,device_not_recording
1720743420000,2024-07-12T00:17:00Z,1211-1-1-0712,,device_not_recording
1720743480000,2024-07-12T00:18:00Z,1211-1-1-0712,,device_not_recording
1720743540000,2024-07-12T00:19:00Z,1211-1-1-0712,,device_not_recording
1720743600000,2024-07-12T00:20:00Z,1211-1-1-0712,,device_not_recording
1720743660000,2024-07-12T00:21:00Z,1211-1-1-0712,,device_not_recording
1720743720000,2024-07-12T00:22:00Z,1211-1-1-0712,,device_not_recording
1720743780000,2024-07-12T00:23:00Z,1211-1-1-0712,,device_not_recording
1720743840000,2024-07-12T00:24:00Z,1211-1-1-0712,,device_not_recording
1720743900000,2024-07-12T00:25:00Z,1211-1-1-0712,,device_not_recording
1720743960000,2024-07-12T00:26:00Z,1211-1-1-0712,,device_not_recording
1720744020000,2024-07-12T00:27:00Z,1211-1-1-0712,,device_not_recording
1720744080000,2024-07-12T00:28:00Z,1211-1-1-0712,,device_not_recording
1720744140000,2024-07-12T00:29:00Z,1211-1-1-0712,,device_not_recording
1720744200000,2024-07-12T00:30:00Z,1211-1-1-0712,,device_not_recording
1720744260000,2024-07-12T00:31:00Z,1211-1-1-0712,,device_not_recording
1720744320000,2024-07-12T00:32:00Z,1211-1-1-0712,,device_not_recording
1720744380000,2024-07-12T00:33:00Z,1211-1-1-0712,,device_not_recording
1720744440000,2024-07-12T00:34:00Z,1211-1-1-0712,,device_not_recording
1720744500000,2024-07-12T00:35:00Z,1211-1-1-0712,,device_not_recording
1720744560000,2024-07-12T00:36:00Z,1211-1-1-0712,,device_not_recording
1720744620000,2024-07-12T00:37:00Z,1211-1-1-0712,,device_not_recording
1720744680000,2024-07-12T00:38:00Z,1211-1-1-0712,,device_not_recording
1720744740000,2024-07-12T00:39:00Z,1211-1-1-0712,,device_not_recording
1720744800000,2024-07-12T00:40:00Z,1211-1-1-0712,,device_not_recording
1720744860000,2024-07-12T00:41:00Z,1211-1-1-0712,,device_not_recording
1720744920000,2024-07-12T00:42:00Z,1211-1-1-0712,,device_not_recording
1720744980000,2024-07-12T00:43:00Z,1211-1-1-0712,,device_not_recording
1720745040000,2024-07-12T00:44:00Z,1211-1-1-0712,,device_not_recording
1720745100000,2024-07-12T00:45:00Z,1211-1-1-0712,,device_not_recording
1720745160000,2024-07-12T00:46:00Z,1211-1-1-0712,,device_not_recording
1720745220000,2024-07-12T00:47:00Z,1211-1-1-0712,,device_not_recording
1720745280000,2024-07-12T00:48:00Z,1211-1-1-0712,,device_not_recording
1720745340000,2024-07-12T00:49:00Z,1211-1-1-0712,,device_not_recording
1720745400000,2024-07-12T00:50:00Z,1211-1-1-0712,,device_not_recording
1720745460000,2024-07-12T00:51:00Z,1211-1-1-0712,,device_not_recording
