session,participant,part_label,clicked_button,market_bonus,forecast_bonus,risk_bonus,quiz_bonus,total_bonus,showup,total_payment
100hm05f,nplt416w,62bdc30224534809032cf056,1,1.52,0.01,0.7,1.0,3.23,12.0,15.23
100hm05f,hddyaam9,62b628e4351d179f1ff6cc59,1,7.82,0.01,0.78,1.25,9.86,12.0,21.86
100hm05f,j0leb3yh,62b0ff84054c6ca32f481c65,1,2.88,0.01,1.98,1.0,5.87,12.0,17.87
100hm05f,x498kj32,66919140828b8946afc029c5,1,7.08,0.03,1.07,0.75,8.93,12.0,20.93
100hm05f,hqyh4s5d,612962f44f151ddfd0298c52,1,5.74,0.0,0.75,1.25,7.74,12.0,19.74
100hm05f,0w9io48p,4y7q8j7q_29K,1,4.3,0.01,2.0,1.25,7.56,12.0,19.56
100hm05f,gs5dqq5j,655f8b988c6f7bfe39e747b0,1,3.94,0.0,1.88,0.5,6.32,12.0,18.32
100hm05f,339iogsz,669b4dceeb230d2639ec95b2,1,4.44,0.01,0.93,0.75,6.13,12.0,18.13
100hm05f,r6o0g0wq,5ed543442db0060a955d12e1,1,5.26,0.0,0.93,0.5,6.69,12.0,18.69
100hm05f,6mz57nwc,4y7q8j7q_89E,1,3.41,0.0,1.8,1.0,6.21,12.0,18.21
100hm05f,ykzhl4wk,5699a34925d9e9000cb095d4,1,1.87,0.03,0.83,0.75,3.48,12.0,15.48
100hm05f,9elrke69,6664f5e1d2bb30d00f6172c4,1,1.4,0.0,1.8,0.5,3.7,12.0,15.7
100hm05f,wg19bc5r,659daa1ed4e13d6428103c1f,1,3.2,0.01,0.75,0.5,4.46,12.0,16.46
100hm05f,6z5d31kd,6654b7668e8642303bbc2fa7,1,2.94,0.0,2.0,0.5,5.44,12.0,17.44
100hm05f,25vvrevi,667ff3711e30726d16f919c7,1,2.85,0.0,1.82,0.75,5.42,12.0,17.42
100hm05f,64d1s5wf,632b947efa9da6a9bde31f94,1,2.7,0.0,0.95,1.0,4.65,12.0,16.65
100hm05f,2ab5wyho,643adb4a213b87bfc7e21e3f,1,2.81,0.0,0.93,0.5,4.24,12.0,16.24
100hm05f,p3cv65xc,66a0ab7c28e1b2f182ab5233,1,0.83,0.0,0.85,0.75,2.43,12.0,14.43
100hm05f,w0zpj4ge,6692871c0126c394a82ebd80,1,0.98,0.0,2.0,0.75,3.73,12.0,15.73
100hm05f,6s6b93ws,4y7q8j7q_67D,1,2.64,0.05,0.85,0.75,4.29,12.0,16.29
100hm05f,o561gxjo,100hm05f_28X,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
100hm05f,etb4tik2,100hm05f_15F,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
100hm05f,m5x56ibg,100hm05f_60X,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
100hm05f,t45q80l3,100hm05f_27L,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
100hm05f,ti6v9so6,100hm05f_78D,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
100hm05f,bgtgznuw,100hm05f_68V,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
100hm05f,zpexydyn,100hm05f_75K,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
100hm05f,f679uou9,100hm05f_85D,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
100hm05f,yqwyplow,100hm05f_08D,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
100hm05f,v30xhcfd,100hm05f_41F,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
