session,participant,part_label,clicked_button,round_number,final_cash,bonus,show-up,cash_plus_show,bonus_plus_show
tyz81wyd,15dx0pze,42P,1,33,6.78,8.0,10.0,16.78,18.0
tyz81wyd,jx8pidn3,35F,0,33,0.0,0.0,10.0,10.0,10.0
tyz81wyd,b756p5lc,33X,1,33,9.33,11.0,10.0,19.33,21.0
tyz81wyd,6ny6xs08,15R,1,33,2.5,6.0,10.0,12.5,16.0
tyz81wyd,nuf0rynv,59L,1,33,11.18,12.0,10.0,21.18,22.0
tyz81wyd,lknzjydd,88T,0,33,0.0,0.0,10.0,10.0,10.0
tyz81wyd,mylj7izc,79R,1,33,3.34,4.0,10.0,13.34,14.0
tyz81wyd,ol14eaz1,42X,1,33,11.82,13.0,10.0,21.82,23.0
tyz81wyd,7xzb4fsl,49J,1,33,7.88,9.0,10.0,17.88,19.0
tyz81wyd,hjlqtt4g,61D,0,33,0.0,0.0,10.0,10.0,10.0
tyz81wyd,i701dxth,82F,0,33,0.0,0.0,10.0,10.0,10.0
tyz81wyd,ctjh0qw6,15Q,0,33,0.0,0.0,10.0,10.0,10.0
tyz81wyd,xaoitbe7,05U,0,33,0.0,0.0,10.0,10.0,10.0
tyz81wyd,mjwk5t5m,78F,0,33,0.0,0.0,10.0,10.0,10.0
tyz81wyd,ff23ktk7,53R,0,33,0.0,0.0,10.0,10.0,10.0
tyz81wyd,51brt5q1,53W,0,33,0.0,0.0,10.0,10.0,10.0
tyz81wyd,oi9tylo8,14C,0,33,0.0,0.0,10.0,10.0,10.0
tyz81wyd,7bv0rte9,84L,0,33,0.0,0.0,10.0,10.0,10.0
tyz81wyd,f510ite1,71A,0,33,0.0,0.0,10.0,10.0,10.0
tyz81wyd,w41idnns,35O,0,33,0.0,0.0,10.0,10.0,10.0
