participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.timeout,player.consent_given,player.quiz_1,player.quiz_2,player.quiz_3,player.quiz_4,player.quiz_5,player.quiz_1_init,player.quiz_2_init,player.quiz_3_init,player.quiz_4_init,player.quiz_5_init,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
21,7p7cwy8r,13g0OT73126m9Zz75L695O67,0,7,7,landingct,NoConsent,2024-06-04 18:05:58.292465,1,,,0.0,21,,0.0,0.0,0,,,,,,,,,,,1,1,vbm55dq7,2024-06-04,,,Landing Page,0
22,x779vffs,66463e4efb99fba5a67a010a,0,6,7,landingct,ReadyToStart,2024-06-04 18:06:01.345052,1,,,0.0,22,,0.0,0.0,1,2,2,210,110,56,1,5,200,105,116,1,1,vbm55dq7,2024-06-04,,,Landing Page,0
23,bj3pibez,6638e8aa3d1f38846080806a,0,6,7,landingct,ReadyToStart,2024-06-04 18:06:29.152609,1,,,0.0,23,,0.0,0.0,1,2,2,210,110,56,1,3,210,110,116,1,1,vbm55dq7,2024-06-04,,,Landing Page,0
24,722ge55s,65fae5364f7c7bd6c75658b6,0,6,7,landingct,ReadyToStart,2024-06-04 18:06:56.963961,1,,,0.0,24,,0.0,0.0,1,2,2,210,110,56,1,2,200,105,116,1,1,vbm55dq7,2024-06-04,,,Landing Page,0
25,q0bra59o,5e9f3f09ccc75a0c345e4845,0,6,7,landingct,ReadyToStart,2024-06-04 18:06:57.675594,1,,,0.0,25,,0.0,0.0,1,2,2,210,110,56,2,2,200,110,56,1,1,vbm55dq7,2024-06-04,,,Landing Page,0
26,oumx3g3q,1J8E0T73dEy09Z9L596n5667,0,7,7,landingct,NoConsent,2024-06-04 18:06:59.698978,1,,,0.0,26,,0.0,0.0,0,,,,,,,,,,,1,1,vbm55dq7,2024-06-04,,,Landing Page,0
27,endchcvw,5fb8c064339ea562edc00d73,0,6,7,landingct,ReadyToStart,2024-06-04 18:07:05.117113,1,,,0.0,27,,0.0,0.0,1,2,2,210,110,56,2,2,210,105,4,1,1,vbm55dq7,2024-06-04,,,Landing Page,0
28,8on3a1on,6639294aecf47d087656fe71,0,6,7,landingct,ReadyToStart,2024-06-04 18:07:58.295455,1,,,0.0,28,,0.0,0.0,1,2,2,210,110,56,1,1,200,100,29,1,1,vbm55dq7,2024-06-04,,,Landing Page,0
29,t4ja8d7a,vbm55dq7_60Q,0,6,7,landingct,ReadyToStart,2024-06-04 18:08:29.471116,1,,,0.0,29,,0.0,0.0,1,2,2,210,110,56,1,5,210,110,56,1,1,vbm55dq7,2024-06-04,,,Landing Page,0
30,2paya79f,vbm55dq7_99D,0,0,7,,,,0,,,0.0,30,,0.0,0.0,,,,,,,,,,,,1,1,vbm55dq7,2024-06-04,,,Landing Page,0
