session,participant,part_label,clicked_button,market_bonus,forecast_bonus,risk_bonus,quiz_bonus,total_bonus,showup,total_payment
qmq3iyfo,g1xw6t2n,56fa002e8425ef000b3a4276,1,17.8,0.31,0.9,0.5,19.51,12.0,31.51
qmq3iyfo,49593iw8,595727e6dff58d0001e5b883,1,16.88,0.31,0.83,0.75,18.77,12.0,30.77
qmq3iyfo,is7mme82,60d9e7e76cf2ab6d21eb5f99,1,16.97,0.25,1.05,0.5,18.77,12.0,30.77
qmq3iyfo,09h80zls,66d5d10f4defd1d7b2cdd5c5,1,16.3,0.75,1.83,0.75,19.63,12.0,31.63
qmq3iyfo,6dkx64i1,6658e4f0181c5007b04398cb,1,18.08,0.75,0.85,1.25,20.93,12.0,32.93
qmq3iyfo,jb0hjz7x,66bcc667ba1619c089fecbbb,1,17.61,0.75,1.0,1.25,20.61,12.0,32.61
qmq3iyfo,qkvoqed5,66366f1058966314508ed6e4,1,17.7,0.44,1.88,0.5,20.52,12.0,32.52
qmq3iyfo,evupemzj,5bdfb648484288000130dad0,1,14.48,0.13,1.07,0.75,16.43,12.0,28.43
qmq3iyfo,4rxdv0ll,66d36598db306c67c37bde18,1,17.24,0.44,0.85,0.5,19.03,12.0,31.03
qmq3iyfo,rkxcewoe,66a030cb2b449ce5c9a783f8,1,11.55,0.31,1.9,0.75,14.51,12.0,26.51
qmq3iyfo,f5xdkjn3,66a6840ee7dacc037e45681c,1,18.15,0.5,1.93,1.25,21.83,12.0,33.83
qmq3iyfo,qdecx3jn,668ea0c518a4d78ff5007041,1,16.75,0.13,1.73,1.0,19.61,12.0,31.61
qmq3iyfo,iemxtrvi,66e8f81e357d882730f18be0,1,18.9,0.0,0.18,1.0,20.08,12.0,32.08
qmq3iyfo,m5fbb2bs,6692de3d28a72d1606ce3331,1,16.69,0.75,0.1,0.25,17.79,12.0,29.79
qmq3iyfo,vqd6ybux,66868c8deb90d14934882ee5,1,17.28,0.13,0.1,0.25,17.76,12.0,29.76
qmq3iyfo,3rfgn8c3,65ade7fd7386573b4cb3ec4a,1,17.94,0.63,1.75,0.75,21.07,12.0,33.07
qmq3iyfo,1t2bc6ga,665cbb56d9ecb20564b9b607,1,14.0,0.31,0.7,0.75,15.76,12.0,27.76
qmq3iyfo,i0jgxm2r,qmq3iyfo_04Z,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
qmq3iyfo,9vyu1zzk,qmq3iyfo_88J,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
qmq3iyfo,qxa58kax,qmq3iyfo_52G,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
qmq3iyfo,vcu1eftc,qmq3iyfo_15J,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
qmq3iyfo,txacaw2h,qmq3iyfo_22C,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
qmq3iyfo,60howa03,qmq3iyfo_36V,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
qmq3iyfo,8b3h9hod,qmq3iyfo_59V,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
qmq3iyfo,ceih7rnc,qmq3iyfo_49U,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
qmq3iyfo,197mgb2n,qmq3iyfo_51U,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
qmq3iyfo,untfzde2,qmq3iyfo_10D,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
qmq3iyfo,hr422s4n,qmq3iyfo_27X,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
qmq3iyfo,2x2jrbw7,qmq3iyfo_83G,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
qmq3iyfo,m92u5iwi,qmq3iyfo_04X,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
