HR,Sample,Timestamp,Time,1701384603
79.1,139,1701384742,17:52:22.00,
79.22,140,1701384743,17:52:23.00,
79.35,141,1701384744,17:52:24.00,
79.47,142,1701384745,17:52:25.00,
79.62,143,1701384746,17:52:26.00,
79.78,144,1701384747,17:52:27.00,
79.97,145,1701384748,17:52:28.00,
80.17,146,1701384749,17:52:29.00,
80.35,147,1701384750,17:52:30.00,
80.5,148,1701384751,17:52:31.00,
80.67,149,1701384752,17:52:32.00,
80.75,150,1701384753,17:52:33.00,
80.82,151,1701384754,17:52:34.00,
80.83,152,1701384755,17:52:35.00,
80.83,153,1701384756,17:52:36.00,
80.82,154,1701384757,17:52:37.00,
80.78,155,1701384758,17:52:38.00,
80.75,156,1701384759,17:52:39.00,
80.72,157,1701384760,17:52:40.00,
80.63,158,1701384761,17:52:41.00,
80.58,159,1701384762,17:52:42.00,
80.55,160,1701384763,17:52:43.00,
80.58,161,1701384764,17:52:44.00,
80.63,162,1701384765,17:52:45.00,
80.7,163,1701384766,17:52:46.00,
80.75,164,1701384767,17:52:47.00,
80.92,165,1701384768,17:52:48.00,
81.02,166,1701384769,17:52:49.00,
81.12,167,1701384770,17:52:50.00,
81.18,168,1701384771,17:52:51.00,
81.27,169,1701384772,17:52:52.00,
81.37,170,1701384773,17:52:53.00,
81.47,171,1701384774,17:52:54.00,
81.6,172,1701384775,17:52:55.00,
81.8,173,1701384776,17:52:56.00,
82,174,1701384777,17:52:57.00,
82.23,175,1701384778,17:52:58.00,
82.48,176,1701384779,17:52:59.00,
82.72,177,1701384780,17:53:00.00,
83,178,1701384781,17:53:01.00,
83.37,179,1701384782,17:53:02.00,
83.75,180,1701384783,17:53:03.00,
84.13,181,1701384784,17:53:04.00,
84.53,182,1701384785,17:53:05.00,
84.93,183,1701384786,17:53:06.00,
85.33,184,1701384787,17:53:07.00,
85.75,185,1701384788,17:53:08.00,
86.18,186,1701384789,17:53:09.00,
86.58,187,1701384790,17:53:10.00,
86.92,188,1701384791,17:53:11.00,
87.18,189,1701384792,17:53:12.00,
87.47,190,1701384793,17:53:13.00,
87.72,191,1701384794,17:53:14.00,
87.95,192,1701384795,17:53:15.00,
88.22,193,1701384796,17:53:16.00,
88.42,194,1701384797,17:53:17.00,
88.67,195,1701384798,17:53:18.00,
88.9,196,1701384799,17:53:19.00,
89.12,197,1701384800,17:53:20.00,
89.35,198,1701384801,17:53:21.00,
89.52,199,1701384802,17:53:22.00,
89.68,200,1701384803,17:53:23.00,
89.87,201,1701384804,17:53:24.00,
90.07,202,1701384805,17:53:25.00,
90.2,203,1701384806,17:53:26.00,
90.27,204,1701384807,17:53:27.00,
90.33,205,1701384808,17:53:28.00,
90.37,206,1701384809,17:53:29.00,
90.37,207,1701384810,17:53:30.00,
90.37,208,1701384811,17:53:31.00,
90.38,209,1701384812,17:53:32.00,
90.43,210,1701384813,17:53:33.00,
90.3,211,1701384814,17:53:34.00,
90.18,212,1701384815,17:53:35.00,
90.08,213,1701384816,17:53:36.00,
90.02,214,1701384817,17:53:37.00,
89.95,215,1701384818,17:53:38.00,
89.9,216,1701384819,17:53:39.00,
89.9,217,1701384820,17:53:40.00,
90.03,218,1701384821,17:53:41.00,
90.18,219,1701384822,17:53:42.00,
90.32,220,1701384823,17:53:43.00,
90.4,221,1701384824,17:53:44.00,
90.45,222,1701384825,17:53:45.00,
90.53,223,1701384826,17:53:46.00,
90.65,224,1701384827,17:53:47.00,
90.72,225,1701384828,17:53:48.00,
90.85,226,1701384829,17:53:49.00,
90.95,227,1701384830,17:53:50.00,
91.12,228,1701384831,17:53:51.00,
91.28,229,1701384832,17:53:52.00,
91.43,230,1701384833,17:53:53.00,
91.63,231,1701384834,17:53:54.00,
91.73,232,1701384835,17:53:55.00,
91.78,233,1701384836,17:53:56.00,
91.9,234,1701384837,17:53:57.00,
92.07,235,1701384838,17:53:58.00,
92.17,236,1701384839,17:53:59.00,
92.25,237,1701384840,17:54:00.00,
