HR,Sample,Timestamp,Time,1701384585
62,0,1701384585,17:49:45.00,1
63.5,1,1701384586,17:49:46.00,
69.33,2,1701384587,17:49:47.00,
101,3,1701384588,17:49:48.00,
100.2,4,1701384589,17:49:49.00,
99.67,5,1701384590,17:49:50.00,
99.43,6,1701384591,17:49:51.00,
99.38,7,1701384592,17:49:52.00,
99.11,8,1701384593,17:49:53.00,
98.8,9,1701384594,17:49:54.00,
98.64,10,1701384595,17:49:55.00,
98.58,11,1701384596,17:49:56.00,
98.31,12,1701384597,17:49:57.00,
98,13,1701384598,17:49:58.00,
97.73,14,1701384599,17:49:59.00,
97.38,15,1701384600,17:50:00.00,
96.94,16,1701384601,17:50:01.00,
96.67,17,1701384602,17:50:02.00,
96.42,18,1701384603,17:50:03.00,
95.7,19,1701384604,17:50:04.00,
95.05,20,1701384605,17:50:05.00,
94.45,21,1701384606,17:50:06.00,
93.87,22,1701384607,17:50:07.00,
93.08,23,1701384608,17:50:08.00,
92.48,24,1701384609,17:50:09.00,
91.92,25,1701384610,17:50:10.00,
91.41,26,1701384611,17:50:11.00,
90.93,27,1701384612,17:50:12.00,
90.52,28,1701384613,17:50:13.00,
90,29,1701384614,17:50:14.00,
89.52,30,1701384615,17:50:15.00,
89.12,31,1701384616,17:50:16.00,
88.64,32,1701384617,17:50:17.00,
88.24,33,1701384618,17:50:18.00,
88.49,34,1701384619,17:50:19.00,
88.67,35,1701384620,17:50:20.00,
88.84,36,1701384621,17:50:21.00,
89,37,1701384622,17:50:22.00,
89.23,38,1701384623,17:50:23.00,
89.43,39,1701384624,17:50:24.00,
89.61,40,1701384625,17:50:25.00,
89.79,41,1701384626,17:50:26.00,
90,42,1701384627,17:50:27.00,
90.23,43,1701384628,17:50:28.00,
90.44,44,1701384629,17:50:29.00,
90.65,45,1701384630,17:50:30.00,
90.87,46,1701384631,17:50:31.00,
91.15,47,1701384632,17:50:32.00,
91.43,48,1701384633,17:50:33.00,
91.76,49,1701384634,17:50:34.00,
91.98,50,1701384635,17:50:35.00,
92.17,51,1701384636,17:50:36.00,
92.42,52,1701384637,17:50:37.00,
92.63,53,1701384638,17:50:38.00,
92.84,54,1701384639,17:50:39.00,
93.04,55,1701384640,17:50:40.00,
93.33,56,1701384641,17:50:41.00,
93.64,57,1701384642,17:50:42.00,
93.93,58,1701384643,17:50:43.00,
94.22,59,1701384644,17:50:44.00,
95.05,60,1701384645,17:50:45.00,
95.78,61,1701384646,17:50:46.00,
96.25,62,1701384647,17:50:47.00,
94.78,63,1701384648,17:50:48.00,
94.88,64,1701384649,17:50:49.00,
95.02,65,1701384650,17:50:50.00,
95.13,66,1701384651,17:50:51.00,
95.28,67,1701384652,17:50:52.00,
95.5,68,1701384653,17:50:53.00,
95.73,69,1701384654,17:50:54.00,
95.95,70,1701384655,17:50:55.00,
96.18,71,1701384656,17:50:56.00,
96.42,72,1701384657,17:50:57.00,
96.62,73,1701384658,17:50:58.00,
96.83,74,1701384659,17:50:59.00,
97.03,75,1701384660,17:51:00.00,
97.28,76,1701384661,17:51:01.00,
97.5,77,1701384662,17:51:02.00,
97.75,78,1701384663,17:51:03.00,
98.15,79,1701384664,17:51:04.00,
98.53,80,1701384665,17:51:05.00,
98.95,81,1701384666,17:51:06.00,
99.37,82,1701384667,17:51:07.00,
99.87,83,1701384668,17:51:08.00,
100.32,84,1701384669,17:51:09.00,
100.73,85,1701384670,17:51:10.00,
100.97,86,1701384671,17:51:11.00,
101.17,87,1701384672,17:51:12.00,
101.38,88,1701384673,17:51:13.00,
101.68,89,1701384674,17:51:14.00,
101.98,90,1701384675,17:51:15.00,
102.25,91,1701384676,17:51:16.00,
102.58,92,1701384677,17:51:17.00,
102.87,93,1701384678,17:51:18.00,
