1712257053.000000, 1712257053.000000, 1712257053.000000
32.000000, 32.000000, 32.000000
-60,-3,10
-60,-5,13
-63,-5,14
-66,-1,18
-66,0,21
-65,0,25
-62,-1,29
-53,-2,34
-44,-5,40
-44,-6,40
-38,-3,43
-47,1,45
-48,11,41
-53,14,42
-51,17,37
-62,14,31
-58,9,27
-55,8,16
-57,9,10
-66,13,8
-61,14,14
-69,23,20
-61,19,23
-61,19,24
-65,24,14
-61,22,15
-62,16,14
-62,13,12
-59,5,15
-57,2,13
-62,1,7
-62,0,8
-59,-1,12
-63,0,16
-62,0,19
-56,-2,21
-62,-2,19
-72,8,23
-65,10,25
-62,20,26
-43,14,36
-28,10,40
-4,1,59
-6,-4,62
-28,-8,58
-39,-7,55
-34,-8,67
-34,-6,67
-31,0,64
-23,2,56
-23,5,54
-23,7,63
-25,14,66
-28,14,59
-28,16,55
-26,18,53
-29,26,53
-41,22,52
-33,6,62
-31,-1,60
-42,-4,50
-51,-1,48
-36,-4,50
-35,-2,49
-37,-1,40
-32,6,43
-34,7,43
-38,8,41
-35,7,45
-28,3,61
-32,2,62
-28,0,67
-34,5,69
-41,9,67
-45,13,63
-43,11,72
-35,1,89
-37,-10,87
-37,-29,79
-45,-34,63
-50,-41,43
-42,-32,26
-37,-26,22
-32,-11,21
-32,-1,20
-25,13,28
-29,18,35
-32,27,38
-37,28,42
-32,29,48
-28,29,52
-21,25,58
-29,21,61
-30,15,64
-34,13,72
-16,14,78
-27,10,51
-31,22,45
-25,21,55
-30,21,59
-37,21,58
-34,18,63
-37,17,64
-35,14,62
-35,14,59
-31,7,59
-29,5,54
-27,4,51
-25,0,48
-21,-2,52
-18,-6,47
-21,-8,44
-13,-7,49
-19,-6,45
-17,-6,50
-18,-4,50
-18,-4,52
-22,-3,59
-8,0,66
-18,1,64
-22,-2,62
-22,-2,63
-26,0,65
-28,-2,61
-61,20,97
5,-10,78
-18,2,57
-16,-5,61
-21,2,62
-32,3,53
-31,3,52
-28,-1,47
-25,-3,50
-28,-2,56
-26,-2,59
-18,-4,61
-19,-5,62
-16,-5,65
-13,-4,67
-14,-3,65
-10,-3,65
-10,-2,65
-10,-3,63
-6,-2,64
-5,-1,64
-9,-2,61
-7,-2,63
-7,-3,64
-6,-3,62
-7,-2,63
-6,-2,63
-8,-2,63
-8,-2,64
-7,-2,64
-4,-2,63
-7,-2,60
-10,-7,58
-9,-1,64
2,2,68
-18,0,62
-31,3,69
-9,-2,69
