time,value,zscore,tonic,phasic,page,rnd
1719942869.25,28.43,0.06981088493285853,0.07308404357076986,-0.003273158640454448,ConsentWaitPage,-2
1719942869.5,28.43,0.06981088493285853,0.07405568164549857,-0.0042447967151723115,ConsentWaitPage,-2
1719942869.75,28.43,0.06981088493285853,0.07512182991137016,-0.005310944981027057,ConsentWaitPage,-2
1719942870.0,28.43,0.06981088493285853,0.07626850964662349,-0.0064576247162583394,ConsentWaitPage,-2
1719942870.25,28.43,0.06981088493285853,0.07748024990896304,-0.007669364978571681,ConsentWaitPage,-2
1719942870.5,28.43,0.06981088493285853,0.07874045807878105,-0.008929573148360357,ConsentWaitPage,-2
1719942870.75,28.43,0.06981088493285853,0.08003181475517693,-0.010220929824724872,ConsentWaitPage,-2
1719942871.0,28.45,0.08922234034020801,0.08133668359116547,0.007885656746668341,ConsentWaitPage,-2
1719942871.25,28.45,0.08922234034020801,0.08263752599599272,0.006584814341873172,ConsentWaitPage,-2
1719942871.5,28.45,0.08922234034020801,0.08391731024289399,0.005305030095002664,ConsentWaitPage,-2
1719942871.75,28.45,0.08922234034020801,0.08515990445251104,0.0040624358854139285,ConsentWaitPage,-2
1719942872.0,28.45,0.08922234034020801,0.08635044320279973,0.002871897135149959,ConsentWaitPage,-2
1719942872.25,28.45,0.08922234034020801,0.08747565814025557,0.001746682197714267,ConsentWaitPage,-2
1719942872.5,28.45,0.08922234034020801,0.08852416390409489,0.000698176433889649,ConsentWaitPage,-2
1719942872.75,28.45,0.08922234034020801,0.08948669188461308,-0.00026435154661991547,ConsentWaitPage,-2
1719942873.0,28.47,0.1086337957475575,0.09035626578254334,0.01827752996280138,ConsentWaitPage,-2
1719942873.25,28.47,0.1086337957475575,0.09112831458852899,0.01750548115681092,ConsentWaitPage,-2
1719942873.5,28.47,0.1086337957475575,0.0918007204336995,0.01683307531162855,ConsentWaitPage,-2
1719942873.75,28.47,0.1086337957475575,0.09237380073514989,0.016259995010159286,ConsentWaitPage,-2
1719942874.0,28.45,0.08922234034020801,0.09285022610713009,-0.003627885769195968,ConsentWaitPage,-2
1719942874.25,28.45,0.08922234034020801,0.09323487752845568,-0.004012537190553299,ConsentWaitPage,-2
1719942874.5,28.45,0.08922234034020801,0.0935346481255395,-0.004312307787674124,ConsentWaitPage,-2
1719942874.75,28.45,0.08922234034020801,0.09375819653127902,-0.004535856193454791,ConsentWaitPage,-2
1719942875.0,28.45,0.08922234034020801,0.09391566003016402,-0.004693319692383721,ConsentWaitPage,-2
1719942875.25,28.45,0.08922234034020801,0.09401833656406693,-0.004795996226331925,ConsentWaitPage,-2
1719942875.5,28.45,0.08922234034020801,0.0940783451565785,-0.004856004818888689,ConsentWaitPage,-2
1719942875.75,28.45,0.08922234034020801,0.09410827444591884,-0.004885934108272707,ConsentWaitPage,-2
1719942876.0,28.45,0.08922234034020801,0.09412082883702386,-0.004898488499418641,ConsentWaitPage,-2
1719942876.25,28.45,0.08922234034020801,0.09412848133538264,-0.004906140997814468,ConsentWaitPage,-2
1719942876.5,28.45,0.08922234034020801,0.09414314145285926,-0.004920801115323338,ConsentWaitPage,-2
1719942876.75,28.45,0.08922234034020801,0.09417584572405847,-0.004953505386549253,ConsentWaitPage,-2
1719942877.0,28.45,0.08922234034020801,0.09423647738619559,-0.00501413704870699,ConsentWaitPage,-2
1719942877.25,28.45,0.08922234034020801,0.09433352070157813,-0.005111180364103652,ConsentWaitPage,-2
1719942877.5,28.45,0.08922234034020801,0.09447385428557721,-0.005251513948110128,ConsentWaitPage,-2
1719942877.75,28.45,0.08922234034020801,0.09466258669050417,-0.005440246353037808,ConsentWaitPage,-2
1719942878.0,28.47,0.1086337957475575,0.09490293643349651,0.013730859311325038,ConsentWaitPage,-2
1719942878.25,28.47,0.1086337957475575,0.09519615768963524,0.013437638055198067,ConsentWaitPage,-2
1719942878.5,28.47,0.1086337957475575,0.09554151203836446,0.013092283706486064,ConsentWaitPage,-2
1719942878.75,28.47,0.1086337957475575,0.09593628597029609,0.01269750977457617,ConsentWaitPage,-2
1719942879.0,28.45,0.08922234034020801,0.09637585331590418,-0.007153512978356348,ConsentWaitPage,-2
1719942879.25,28.45,0.08922234034020801,0.09685378129011948,-0.007631440952544696,ConsentWaitPage,-2
1719942879.5,28.45,0.08922234034020801,0.0973619783736334,-0.008139638036031092,ConsentWaitPage,-2
1719942879.75,28.45,0.08922234034020801,0.09789088169220846,-0.008668541354579224,ConsentWaitPage,-2
1719942880.0,28.45,0.08922234034020801,0.09842968086170173,-0.00920734052404713,ConsentWaitPage,-2
1719942880.25,28.45,0.08922234034020801,0.09896657443792402,-0.009744234100246383,ConsentWaitPage,-2
1719942880.5,28.45,0.08922234034020801,0.09948905418732339,-0.010266713849625598,ConsentWaitPage,-2
1719942880.75,28.45,0.08922234034020801,0.09998421144310961,-0.010761871105394876,ConsentWaitPage,-2
1719942881.0,28.47,0.1086337957475575,0.1004390589107372,0.00819473683434061,ConsentWaitPage,-2
1719942881.25,28.47,0.1086337957475575,0.10084086052044591,0.0077929352246422084,ConsentWaitPage,-2
1719942881.5,28.47,0.1086337957475575,0.10117746137370569,0.0074563343713895626,ConsentWaitPage,-2
1719942881.75,28.47,0.1086337957475575,0.10143760955930813,0.007196186185791279,ConsentWaitPage,-2
1719942882.0,28.47,0.1086337957475575,0.10161126165517648,0.007022534089924301,ConsentWaitPage,-2
1719942882.25,28.47,0.1086337957475575,0.10168986407492525,0.006943931670174358,ConsentWaitPage,-2
1719942882.5,28.47,0.1086337957475575,0.10166660302142576,0.006967192723670303,ConsentWaitPage,-2
1719942882.75,28.47,0.1086337957475575,0.10153661661254328,0.0070971791325469625,ConsentWaitPage,-2
1719942883.0,28.45,0.08922234034020801,0.10129716368074645,-0.012074823343013564,ConsentWaitPage,-2
1719942883.25,28.45,0.08922234034020801,0.10094774475391427,-0.01172540441619119,ConsentWaitPage,-2
1719942883.5,28.45,0.08922234034020801,0.10049017174329009,-0.011267831405578708,ConsentWaitPage,-2
1719942883.75,28.45,0.08922234034020801,0.09992858386102446,-0.010706243523326662,ConsentWaitPage,-2
1719942884.0,28.47,0.1086337957475575,0.09926940826472193,0.00936438748030995,ConsentWaitPage,-2
1719942884.25,28.47,0.1086337957475575,0.09852126492106086,0.010112530823953855,ConsentWaitPage,-2
1719942884.5,28.47,0.1086337957475575,0.09769481626204793,0.01093897948294789,ConsentWaitPage,-2
1719942884.75,28.47,0.1086337957475575,0.09680256343873242,0.011831232306242867,ConsentWaitPage,-2
1719942885.0,28.47,0.1086337957475575,0.09585859238680787,0.012775203358145339,ConsentWaitPage,-2
1719942885.25,28.47,0.1086337957475575,0.09487827448615413,0.01375552125877547,ConsentWaitPage,-2
1719942885.5,28.47,0.1086337957475575,0.09387792825785828,0.014755867487046104,ConsentWaitPage,-2
1719942885.75,28.47,0.1086337957475575,0.09287445020462876,0.015759345540248694,ConsentWaitPage,-2
1719942886.0,28.45,0.08922234034020801,0.09188492445485916,-0.0026625841173599646,ConsentWaitPage,-2
1719942886.25,28.45,0.08922234034020801,0.09092622219934768,-0.0017038818618793205,ConsentWaitPage,-2
1719942886.5,28.45,0.08922234034020801,0.0900146028940989,-0.0007922625566635485,ConsentWaitPage,-2
1719942886.75,28.45,0.08922234034020801,0.08916532973608349,5.7010601316827194e-05,ConsentWaitPage,-2
1719942887.0,28.43,0.06981088493285853,0.08839231192283402,-0.018581426992819887,ConsentWaitPage,-2
1719942887.25,28.43,0.06981088493285853,0.08770778564016223,-0.01789690071018575,ConsentWaitPage,-2
1719942887.5,28.43,0.06981088493285853,0.08712204458030663,-0.017311159650367884,ConsentWaitPage,-2
1719942887.75,28.43,0.06981088493285853,0.08664322910481367,-0.016832344174911647,ConsentWaitPage,-2
1719942888.0,28.43,0.06981088493285853,0.08627718099913054,-0.01646629606926304,ConsentWaitPage,-2
1719942888.25,28.43,0.06981088493285853,0.08602736822524701,-0.01621648329541072,ConsentWaitPage,-2
1719942888.5,28.43,0.06981088493285853,0.08589488130183882,-0.0160839963720293,ConsentWaitPage,-2
1719942888.75,28.43,0.06981088493285853,0.08587850008116873,-0.01606761515138054,ConsentWaitPage,-2
1719942889.0,28.45,0.08922234034020801,0.08597482690481409,0.0032475134323085835,ConsentWaitPage,-2
1719942889.25,28.45,0.08922234034020801,0.0861784795590507,0.0030438607780639993,ConsentWaitPage,-2
1719942889.5,28.45,0.08922234034020801,0.08648233525826933,0.0027400050788449646,ConsentWaitPage,-2
1719942889.75,28.45,0.08922234034020801,0.08687781518148137,0.002344525155640399,ConsentWaitPage,-2
