timestamp_unix,timestamp_iso,participant_full_id,activity_counts,missing_value_reason
1721174400000,2024-07-17T00:00:00Z,1211-1-1-0717,,device_not_recording
1721174460000,2024-07-17T00:01:00Z,1211-1-1-0717,,device_not_recording
1721174520000,2024-07-17T00:02:00Z,1211-1-1-0717,,device_not_recording
1721174580000,2024-07-17T00:03:00Z,1211-1-1-0717,,device_not_recording
1721174640000,2024-07-17T00:04:00Z,1211-1-1-0717,,device_not_recording
1721174700000,2024-07-17T00:05:00Z,1211-1-1-0717,,device_not_recording
1721174760000,2024-07-17T00:06:00Z,1211-1-1-0717,,device_not_recording
1721174820000,2024-07-17T00:07:00Z,1211-1-1-0717,,device_not_recording
1721174880000,2024-07-17T00:08:00Z,1211-1-1-0717,,device_not_recording
1721174940000,2024-07-17T00:09:00Z,1211-1-1-0717,,device_not_recording
1721175000000,2024-07-17T00:10:00Z,1211-1-1-0717,,device_not_recording
1721175060000,2024-07-17T00:11:00Z,1211-1-1-0717,,device_not_recording
1721175120000,2024-07-17T00:12:00Z,1211-1-1-0717,,device_not_recording
1721175180000,2024-07-17T00:13:00Z,1211-1-1-0717,,device_not_recording
1721175240000,2024-07-17T00:14:00Z,1211-1-1-0717,,device_not_recording
1721175300000,2024-07-17T00:15:00Z,1211-1-1-0717,,device_not_recording
1721175360000,2024-07-17T00:16:00Z,1211-1-1-0717,,device_not_recording
1721175420000,2024-07-17T00:17:00Z,1211-1-1-0717,,device_not_recording
1721175480000,2024-07-17T00:18:00Z,1211-1-1-0717,,device_not_recording
1721175540000,2024-07-17T00:19:00Z,1211-1-1-0717,,device_not_recording
1721175600000,2024-07-17T00:20:00Z,1211-1-1-0717,,device_not_recording
1721175660000,2024-07-17T00:21:00Z,1211-1-1-0717,,device_not_recording
1721175720000,2024-07-17T00:22:00Z,1211-1-1-0717,,device_not_recording
1721175780000,2024-07-17T00:23:00Z,1211-1-1-0717,,device_not_recording
1721175840000,2024-07-17T00:24:00Z,1211-1-1-0717,,device_not_recording
1721175900000,2024-07-17T00:25:00Z,1211-1-1-0717,,device_not_recording
1721175960000,2024-07-17T00:26:00Z,1211-1-1-0717,,device_not_recording
1721176020000,2024-07-17T00:27:00Z,1211-1-1-0717,,device_not_recording
1721176080000,2024-07-17T00:28:00Z,1211-1-1-0717,,device_not_recording
1721176140000,2024-07-17T00:29:00Z,1211-1-1-0717,,device_not_recording
1721176200000,2024-07-17T00:30:00Z,1211-1-1-0717,,device_not_recording
1721176260000,2024-07-17T00:31:00Z,1211-1-1-0717,,device_not_recording
1721176320000,2024-07-17T00:32:00Z,1211-1-1-0717,,device_not_recording
1721176380000,2024-07-17T00:33:00Z,1211-1-1-0717,,device_not_recording
1721176440000,2024-07-17T00:34:00Z,1211-1-1-0717,,device_not_recording
1721176500000,2024-07-17T00:35:00Z,1211-1-1-0717,,device_not_recording
1721176560000,2024-07-17T00:36:00Z,1211-1-1-0717,,device_not_recording
1721176620000,2024-07-17T00:37:00Z,1211-1-1-0717,,device_not_recording
1721176680000,2024-07-17T00:38:00Z,1211-1-1-0717,,device_not_recording
1721176740000,2024-07-17T00:39:00Z,1211-1-1-0717,,device_not_recording
1721176800000,2024-07-17T00:40:00Z,1211-1-1-0717,,device_not_recording
1721176860000,2024-07-17T00:41:00Z,1211-1-1-0717,,device_not_recording
1721176920000,2024-07-17T00:42:00Z,1211-1-1-0717,,device_not_recording
1721176980000,2024-07-17T00:43:00Z,1211-1-1-0717,,device_not_recording
1721177040000,2024-07-17T00:44:00Z,1211-1-1-0717,,device_not_recording
1721177100000,2024-07-17T00:45:00Z,1211-1-1-0717,,device_not_recording
1721177160000,2024-07-17T00:46:00Z,1211-1-1-0717,,device_not_recording
