participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.cash,player.shares,player.periods_until_auto_buy,player.periods_until_auto_sell,player.shares_transacted,player.trans_cost,player.cash_after_trade,player.interest_earned,player.dividend_earned,player.cash_result,player.shares_result,player.f0,player.f1,player.f2,player.f3,player.fcast_rnd_0,player.fcast_rnd_1,player.fcast_rnd_2,player.fcast_rnd_3,player.forecast_error,player.forecast_reward,player.forecast_bonus_data,player.risk,player.risk_1,player.risk_2,player.risk_3,player.risk_4,player.risk_rh,player.risk_rl,player.risk_sh,player.risk_sl,player.risk_phi_1,player.risk_phi_2,player.risk_phi_3,player.risk_phi_4,player.risk_reward,player.dr,player.dmu,player.dose_r,player.dose_mu,group.id_in_subsession,group.price,group.volume,group.dividend,group.float,group.short,group.is_practice,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,s96xkv65,6018a5c0e1600b187ccb8693,0,368,368,payment,NonParticipantPage,2024-07-12 16:18:54.023492,1,,,0.0,1,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,1,15.0,3,1.0,96,0,1,1,pmyan048,2024-07-12,,,Market Experiment,0
2,060elvfs,60c12fe6ca8c4aa6d0185190,0,367,368,payment,FinalResultsPage,2024-07-12 17:59:32.961951,1,,,1568.35,2,,0.0,100.0,4,-99,-99,0,0.0,100.0,5.0,4.0,109.0,4,15,18,19,17,1,3,6,11,0.0,2.5,,,0,1,0,1,19.25,0.5,10.0,8.0,35.0,57.0,46.0,60.0,,,,0.745893505205101,2.2803499913889307,1,15.0,3,1.0,96,0,1,1,pmyan048,2024-07-12,,,Market Experiment,0
3,ldszmi8g,66469125811cb4b314cd04f4,0,367,368,payment,FinalResultsPage,2024-07-12 17:59:33.282125,1,,,1339.35,3,,0.0,100.0,4,-99,-99,0,0.0,100.0,5.0,4.0,109.0,4,14,15,16,15,1,3,6,11,1.0,2.5,,,,0,0,0,19.25,0.5,10.0,8.0,35.0,35.0,57.0,73.0,,,,0.6970666428742626,3.1903756360130906,1,15.0,3,1.0,96,0,1,1,pmyan048,2024-07-12,,,Market Experiment,0
4,5g8oz5t2,62728f0c68b9ecf571a2dbd4,0,367,368,payment,FinalResultsPage,2024-07-12 17:59:33.338718,1,,,1212.26,4,,0.0,100.0,4,-99,-99,0,0.0,100.0,5.0,4.0,109.0,4,5,7,13,16,1,3,6,11,10.0,0.0,,,,1,0,0,19.25,0.5,10.0,8.0,35.0,35.0,21.0,28.0,,,,-0.6425453596574012,2.9364105807873395,1,15.0,3,1.0,96,0,1,1,pmyan048,2024-07-12,,,Market Experiment,0
5,was57sab,66467f5703bc98ffca9a248c,0,367,368,payment,FinalResultsPage,2024-07-12 17:59:34.082254,1,,,1624.19,5,,0.0,100.0,4,-99,-99,0,0.0,100.0,5.0,4.0,109.0,4,14,16,17,17,1,3,6,11,1.0,2.5,,,1,0,0,0,19.25,0.5,10.0,8.0,35.0,21.0,28.0,32.0,,,,-0.3838196362455986,2.9553295651191442,1,15.0,3,1.0,96,0,1,1,pmyan048,2024-07-12,,,Market Experiment,0
6,1vis1ts3,6625c9127eee9a3639d7e1af,0,367,368,payment,FinalResultsPage,2024-07-12 17:59:34.767643,1,,,839.77,6,,0.0,100.0,4,-99,-99,0,0.0,100.0,5.0,4.0,109.0,4,5,10,20,35,1,3,6,11,10.0,0.0,,,0,1,0,0,19.25,0.5,10.0,8.0,35.0,57.0,46.0,60.0,,,,0.24430764785695816,3.211539223886089,1,15.0,3,1.0,96,0,1,1,pmyan048,2024-07-12,,,Market Experiment,0
7,n4wasbid,6680b99725961403f1c3ee3a,0,367,368,payment,FinalResultsPage,2024-07-12 17:59:34.934698,1,,,1446.62,7,,0.0,100.0,4,-99,-99,0,0.0,100.0,5.0,4.0,109.0,4,16,18,15,31,1,3,6,11,1.0,2.5,,,,0,0,0,19.25,0.5,10.0,8.0,35.0,35.0,57.0,73.0,,,,0.6970666428742626,3.1903756360130906,1,15.0,3,1.0,96,0,1,1,pmyan048,2024-07-12,,,Market Experiment,0
8,twjlwfmh,66857cc20736230620552dbc,0,367,368,payment,FinalResultsPage,2024-07-12 17:59:35.442492,1,,,961.58,8,,0.0,100.0,4,-99,-99,3,-45.0,55.0,2.75,7.0,64.75,7,14,15,15,20,1,3,6,11,1.0,2.5,,,0,0,0,0,19.25,0.5,10.0,8.0,35.0,57.0,73.0,84.0,,,,0.9887234909914421,3.4685248251977425,1,15.0,3,1.0,96,0,1,1,pmyan048,2024-07-12,,,Market Experiment,0
9,78i2bx63,663ab8a4d5bff4596f9a9de7,0,367,368,payment,FinalResultsPage,2024-07-12 17:59:35.452475,1,,,453.52,9,,0.0,100.0,4,-99,-99,0,0.0,100.0,5.0,4.0,109.0,4,5,10,2,5,1,3,6,11,10.0,0.0,,,,0,1,0,19.25,0.5,10.0,8.0,35.0,35.0,57.0,46.0,,,,-0.04571610153507593,2.991074416235589,1,15.0,3,1.0,96,0,1,1,pmyan048,2024-07-12,,,Market Experiment,0
10,i1ggdjpc,6675ebfe4ca3bfdd2a986877,0,367,368,payment,FinalResultsPage,2024-07-12 17:59:35.884883,1,,,464.94,10,,0.0,100.0,4,-99,-99,0,0.0,100.0,5.0,4.0,109.0,4,17,15,30,27,1,3,6,11,2.0,2.5,,,,1,1,0,19.25,0.5,10.0,8.0,35.0,35.0,21.0,15.0,,,,-1.3297416319218514,2.9175415826290285,1,15.0,3,1.0,96,0,1,1,pmyan048,2024-07-12,,,Market Experiment,0
