participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.cash,player.shares,player.periods_until_auto_buy,player.periods_until_auto_sell,player.shares_transacted,player.trans_cost,player.cash_after_trade,player.interest_earned,player.dividend_earned,player.cash_result,player.shares_result,player.f0,player.f1,player.f2,player.f3,player.fcast_rnd_0,player.fcast_rnd_1,player.fcast_rnd_2,player.fcast_rnd_3,player.forecast_error,player.forecast_reward,player.forecast_bonus_data,player.risk,player.risk_1,player.risk_2,player.risk_3,player.risk_4,player.risk_rh,player.risk_rl,player.risk_sh,player.risk_sl,player.risk_phi_1,player.risk_phi_2,player.risk_phi_3,player.risk_phi_4,player.risk_reward,player.dr,player.dmu,player.dose_r,player.dose_mu,group.id_in_subsession,group.price,group.volume,group.dividend,group.float,group.short,group.is_practice,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,po07dezz,65a2bc0d60b1e46f4e1d3cc8,0,400,401,payment,FinalResultsPage,45365.75246,1,,,1002.44,1,,0,100,4,-99,-99,0,0,100,5,4,109,4,15,17,18,18,1,3,6,11,0,2.5,,,0,1,0,1,19.25,0.5,10,8,35,57,46,60,,,,0.745893505,2.280349991,1,15,12,1,80,0,1,1,j9yi8qx8,2024-03-14 market,,,Market Experiment,0
2,6t5zkjsw,60ff7c8f4f066ccf6fe05587,0,400,401,payment,FinalResultsPage,45365.75246,1,,,902.65,2,,0,100,4,-99,-99,3,-45,55,2.75,7,64.75,7,10,4,6,12,1,3,6,11,5,0,,,1,0,0,0,19.25,0.5,10,8,35,21,28,32,,,,-0.383819636,2.955329565,1,15,12,1,80,0,1,1,j9yi8qx8,2024-03-14 market,,,Market Experiment,0
3,2c2jk6i2,5f7529755aaa0e1a6e804640,0,400,401,payment,FinalResultsPage,45365.75247,1,,,740.34,3,,0,100,4,-99,-99,0,0,100,5,4,109,4,14,15,18,23,1,3,6,11,1,2.5,,,,0,1,0,19.25,0.5,10,8,35,35,57,46,,,,-0.045716102,2.991074416,1,15,12,1,80,0,1,1,j9yi8qx8,2024-03-14 market,,,Market Experiment,0
4,le0k73pf,56f9364e895094000c8f4967,0,400,401,payment,FinalResultsPage,45365.75247,1,,,1079.39,4,,0,100,4,-99,-99,-2,30,130,6.5,2,138.5,2,14,15,19,29,1,3,6,11,1,2.5,,,0,0,0,0,19.25,0.5,10,8,35,57,73,84,,,,0.988723491,3.468524825,1,15,12,1,80,0,1,1,j9yi8qx8,2024-03-14 market,,,Market Experiment,0
5,eqomb134,564d1fedb48dec0005b5191d,0,400,401,payment,FinalResultsPage,45365.75248,1,,,662.58,5,,0,100,4,-99,-99,5,-75,25,1.25,9,35.25,9,14,15,17,17,1,3,6,11,1,2.5,,,0,1,0,1,19.25,0.5,10,8,35,57,46,60,,,,0.745893505,2.280349991,1,15,12,1,80,0,1,1,j9yi8qx8,2024-03-14 market,,,Market Experiment,0
6,jh4zquoe,600f9342e7bc5518fa9ca92a,0,400,401,payment,FinalResultsPage,45365.75248,1,,,1218.14,6,,0,100,4,-99,-99,2,-30,70,3.5,6,79.5,6,17,17,19,24,1,3,6,11,2,2.5,,,1,0,1,0,19.25,0.5,10,8,35,21,28,24,,,,-0.758665007,2.945935778,1,15,12,1,80,0,1,1,j9yi8qx8,2024-03-14 market,,,Market Experiment,0
7,qfhl00la,568e7e33e3ef9e000da202a7,0,400,401,payment,FinalResultsPage,45365.75248,1,,,713.1,7,,0,100,4,-99,-99,0,0,100,5,4,109,4,12,13,13,17,1,3,6,11,3,0,,,0,,0,0,19.25,0.5,10,8,35,57,57,73,,,,0.697066643,3.190375636,1,15,12,1,80,0,1,1,j9yi8qx8,2024-03-14 market,,,Market Experiment,0
8,164ihb2u,6554ea58c859388bc801973c,0,400,401,payment,FinalResultsPage,45365.75249,1,,,915.17,8,,0,100,4,-99,-99,-2,30,130,6.5,2,138.5,2,3,3,2,2,1,3,6,11,12,0,,,0,1,0,1,19.25,0.5,10,8,35,57,46,60,,,,0.745893505,2.280349991,1,15,12,1,80,0,1,1,j9yi8qx8,2024-03-14 market,,,Market Experiment,0
9,di7fvryy,90H,0,400,401,payment,FinalResultsPage,45365.75249,1,,,1200.68,9,,0,100,4,-99,-99,0,0,100,5,4,109,4,13,13,15,16,1,3,6,11,2,2.5,,,0,1,0,1,19.25,0.5,10,8,35,57,46,60,,,,0.745893505,2.280349991,1,15,12,1,80,0,1,1,j9yi8qx8,2024-03-14 market,,,Market Experiment,0
10,bwgnq67y,67V,0,400,401,payment,FinalResultsPage,45365.7525,1,,,1036.68,10,,0,100,4,-99,-99,0,0,100,5,4,109,4,15,17,17,30,1,3,6,11,0,2.5,,,,0,0,,19.25,0.5,10,8,35,35,57,73,,,,0.181668596,2.954555741,1,15,12,1,80,0,1,1,j9yi8qx8,2024-03-14 market,,,Market Experiment,0
11,hek05e9p,5c3151aa0cfe9a00012f6f3f,0,400,401,payment,FinalResultsPage,45365.75252,1,,,963.86,11,,0,100,4,-99,-99,2,-30,70,3.5,6,79.5,6,14,16,21,20,1,3,6,11,1,2.5,,,1,0,,0,19.25,0.5,10,8,35,21,28,28,,,,-0.64254536,2.936410581,1,15,12,1,80,0,1,1,j9yi8qx8,2024-03-14 market,,,Market Experiment,0
12,uhwxw8pp,81F,0,400,401,payment,FinalResultsPage,45365.75252,1,,,1126.73,12,,0,100,4,-99,-99,0,0,100,5,4,109,4,15,15,20,25,1,3,6,11,0,2.5,,,,0,1,1,19.25,0.5,10,8,35,35,57,46,,,,0.401773022,2.919206299,1,15,12,1,80,0,1,1,j9yi8qx8,2024-03-14 market,,,Market Experiment,0
13,5oxgjtht,65c128df79c460e6c2c07adc,0,400,401,payment,FinalResultsPage,45365.75253,1,,,616.59,13,,0,100,4,-99,-99,0,0,100,5,4,109,4,5,9,14,21,1,3,6,11,10,0,,,1,0,1,,19.25,0.5,10,8,35,21,28,24,,,,-0.185188331,2.687252687,1,15,12,1,80,0,1,1,j9yi8qx8,2024-03-14 market,,,Market Experiment,0
14,6erfh0b4,44L,0,400,401,payment,FinalResultsPage,45365.75254,1,,,835.23,14,,0,100,4,-99,-99,-2,30,130,6.5,2,138.5,2,14,14,18,20,1,3,6,11,1,2.5,,,,0,,1,19.25,0.5,10,8,35,35,57,57,,,,0.901543816,3.356484061,1,15,12,1,80,0,1,1,j9yi8qx8,2024-03-14 market,,,Market Experiment,0
