Temperature,Sample,Timestamp,Time,1701384575
32.93,138,1701384610,17:50:09.50,
32.93,139,1701384610,17:50:09.75,
32.91,140,1701384610,17:50:10.00,
32.91,141,1701384610,17:50:10.25,
32.91,142,1701384611,17:50:10.50,
32.91,143,1701384611,17:50:10.75,
32.93,144,1701384611,17:50:11.00,
32.93,145,1701384611,17:50:11.25,
32.93,146,1701384612,17:50:11.50,
32.93,147,1701384612,17:50:11.75,
32.91,148,1701384612,17:50:12.00,
32.91,149,1701384612,17:50:12.25,
32.91,150,1701384613,17:50:12.50,
32.91,151,1701384613,17:50:12.75,
32.91,152,1701384613,17:50:13.00,
32.91,153,1701384613,17:50:13.25,
32.91,154,1701384614,17:50:13.50,
32.91,155,1701384614,17:50:13.75,
32.91,156,1701384614,17:50:14.00,
32.91,157,1701384614,17:50:14.25,
32.91,158,1701384615,17:50:14.50,
32.91,159,1701384615,17:50:14.75,
32.93,160,1701384615,17:50:15.00,
32.93,161,1701384615,17:50:15.25,
32.93,162,1701384616,17:50:15.50,
32.93,163,1701384616,17:50:15.75,
32.91,164,1701384616,17:50:16.00,
32.91,165,1701384616,17:50:16.25,
32.91,166,1701384617,17:50:16.50,
32.91,167,1701384617,17:50:16.75,
32.89,168,1701384617,17:50:17.00,
32.89,169,1701384617,17:50:17.25,
32.89,170,1701384618,17:50:17.50,
32.89,171,1701384618,17:50:17.75,
32.89,172,1701384618,17:50:18.00,
32.89,173,1701384618,17:50:18.25,
32.89,174,1701384619,17:50:18.50,
32.89,175,1701384619,17:50:18.75,
32.91,176,1701384619,17:50:19.00,
32.91,177,1701384619,17:50:19.25,
32.91,178,1701384620,17:50:19.50,
32.91,179,1701384620,17:50:19.75,
32.89,180,1701384620,17:50:20.00,
32.89,181,1701384620,17:50:20.25,
32.89,182,1701384621,17:50:20.50,
32.89,183,1701384621,17:50:20.75,
32.89,184,1701384621,17:50:21.00,
32.89,185,1701384621,17:50:21.25,
32.89,186,1701384622,17:50:21.50,
32.89,187,1701384622,17:50:21.75,
32.87,188,1701384622,17:50:22.00,
32.87,189,1701384622,17:50:22.25,
32.87,190,1701384623,17:50:22.50,
32.87,191,1701384623,17:50:22.75,
32.87,192,1701384623,17:50:23.00,
32.87,193,1701384623,17:50:23.25,
32.87,194,1701384624,17:50:23.50,
32.87,195,1701384624,17:50:23.75,
32.87,196,1701384624,17:50:24.00,
32.87,197,1701384624,17:50:24.25,
32.87,198,1701384625,17:50:24.50,
32.87,199,1701384625,17:50:24.75,
32.87,200,1701384625,17:50:25.00,
32.87,201,1701384625,17:50:25.25,
32.87,202,1701384626,17:50:25.50,
32.87,203,1701384626,17:50:25.75,
32.87,204,1701384626,17:50:26.00,
32.87,205,1701384626,17:50:26.25,
32.87,206,1701384627,17:50:26.50,
32.87,207,1701384627,17:50:26.75,
32.84,208,1701384627,17:50:27.00,
32.84,209,1701384627,17:50:27.25,
32.84,210,1701384628,17:50:27.50,
32.84,211,1701384628,17:50:27.75,
32.84,212,1701384628,17:50:28.00,
32.84,213,1701384628,17:50:28.25,
32.84,214,1701384629,17:50:28.50,
32.84,215,1701384629,17:50:28.75,
32.84,216,1701384629,17:50:29.00,
32.84,217,1701384629,17:50:29.25,
32.84,218,1701384630,17:50:29.50,
32.84,219,1701384630,17:50:29.75,
32.84,220,1701384630,17:50:30.00,
32.84,221,1701384630,17:50:30.25,
32.84,222,1701384631,17:50:30.50,
32.84,223,1701384631,17:50:30.75,
32.87,224,1701384631,17:50:31.00,
32.87,225,1701384631,17:50:31.25,
32.87,226,1701384632,17:50:31.50,
32.87,227,1701384632,17:50:31.75,
32.83,228,1701384632,17:50:32.00,
32.83,229,1701384632,17:50:32.25,
32.83,230,1701384633,17:50:32.50,
32.83,231,1701384633,17:50:32.75,
32.84,232,1701384633,17:50:33.00,
32.84,233,1701384633,17:50:33.25,
32.84,234,1701384634,17:50:33.50,
32.84,235,1701384634,17:50:33.75,
32.83,236,1701384634,17:50:34.00,
32.83,237,1701384634,17:50:34.25,
32.83,238,1701384635,17:50:34.50,
32.83,239,1701384635,17:50:34.75,
32.83,240,1701384635,17:50:35.00,
32.83,241,1701384635,17:50:35.25,
32.83,242,1701384636,17:50:35.50,
32.83,243,1701384636,17:50:35.75,
32.81,244,1701384636,17:50:36.00,
32.81,245,1701384636,17:50:36.25,
32.81,246,1701384637,17:50:36.50,
32.81,247,1701384637,17:50:36.75,
32.81,248,1701384637,17:50:37.00,
32.81,249,1701384637,17:50:37.25,
32.81,250,1701384638,17:50:37.50,
32.81,251,1701384638,17:50:37.75,
32.81,252,1701384638,17:50:38.00,
32.81,253,1701384638,17:50:38.25,
32.81,254,1701384639,17:50:38.50,
32.81,255,1701384639,17:50:38.75,
32.81,256,1701384639,17:50:39.00,
32.81,257,1701384639,17:50:39.25,
32.81,258,1701384640,17:50:39.50,
32.81,259,1701384640,17:50:39.75,
32.79,260,1701384640,17:50:40.00,
32.79,261,1701384640,17:50:40.25,
32.79,262,1701384641,17:50:40.50,
32.79,263,1701384641,17:50:40.75,
32.79,264,1701384641,17:50:41.00,
32.79,265,1701384641,17:50:41.25,
32.79,266,1701384642,17:50:41.50,
32.79,267,1701384642,17:50:41.75,
32.79,268,1701384642,17:50:42.00,
32.79,269,1701384642,17:50:42.25,
32.79,270,1701384643,17:50:42.50,
32.79,271,1701384643,17:50:42.75,
32.77,272,1701384643,17:50:43.00,
32.77,273,1701384643,17:50:43.25,
32.77,274,1701384644,17:50:43.50,
32.77,275,1701384644,17:50:43.75,
32.79,276,1701384644,17:50:44.00,
32.79,277,1701384644,17:50:44.25,
32.79,278,1701384645,17:50:44.50,
32.79,279,1701384645,17:50:44.75,
32.81,280,1701384645,17:50:45.00,
32.81,281,1701384645,17:50:45.25,
32.81,282,1701384646,17:50:45.50,
32.81,283,1701384646,17:50:45.75,
32.77,284,1701384646,17:50:46.00,
32.77,285,1701384646,17:50:46.25,
32.77,286,1701384647,17:50:46.50,
32.77,287,1701384647,17:50:46.75,
32.79,288,1701384647,17:50:47.00,
32.79,289,1701384647,17:50:47.25,
32.79,290,1701384648,17:50:47.50,
32.79,291,1701384648,17:50:47.75,
32.79,292,1701384648,17:50:48.00,
32.79,293,1701384648,17:50:48.25,
32.79,294,1701384649,17:50:48.50,
32.79,295,1701384649,17:50:48.75,
32.75,296,1701384649,17:50:49.00,
32.75,297,1701384649,17:50:49.25,
32.75,298,1701384650,17:50:49.50,
32.75,299,1701384650,17:50:49.75,
32.77,300,1701384650,17:50:50.00,
32.77,301,1701384650,17:50:50.25,
32.77,302,1701384651,17:50:50.50,
32.77,303,1701384651,17:50:50.75,
32.75,304,1701384651,17:50:51.00,
32.75,305,1701384651,17:50:51.25,
32.75,306,1701384652,17:50:51.50,
32.75,307,1701384652,17:50:51.75,
32.75,308,1701384652,17:50:52.00,
32.75,309,1701384652,17:50:52.25,
32.75,310,1701384653,17:50:52.50,
32.75,311,1701384653,17:50:52.75,
32.73,312,1701384653,17:50:53.00,
32.73,313,1701384653,17:50:53.25,
32.73,314,1701384654,17:50:53.50,
32.73,315,1701384654,17:50:53.75,
32.75,316,1701384654,17:50:54.00,
32.75,317,1701384654,17:50:54.25,
32.75,318,1701384655,17:50:54.50,
32.75,319,1701384655,17:50:54.75,
32.73,320,1701384655,17:50:55.00,
32.73,321,1701384655,17:50:55.25,
32.73,322,1701384656,17:50:55.50,
32.73,323,1701384656,17:50:55.75,
32.71,324,1701384656,17:50:56.00,
32.71,325,1701384656,17:50:56.25,
32.71,326,1701384657,17:50:56.50,
32.71,327,1701384657,17:50:56.75,
32.71,328,1701384657,17:50:57.00,
32.71,329,1701384657,17:50:57.25,
32.71,330,1701384658,17:50:57.50,
32.71,331,1701384658,17:50:57.75,
32.71,332,1701384658,17:50:58.00,
32.71,333,1701384658,17:50:58.25,
32.71,334,1701384659,17:50:58.50,
32.71,335,1701384659,17:50:58.75,
32.71,336,1701384659,17:50:59.00,
32.71,337,1701384659,17:50:59.25,
32.71,338,1701384660,17:50:59.50,
32.71,339,1701384660,17:50:59.75,
32.73,340,1701384660,17:51:00.00,
32.73,341,1701384660,17:51:00.25,
32.73,342,1701384661,17:51:00.50,
32.73,343,1701384661,17:51:00.75,
32.68,344,1701384661,17:51:01.00,
32.68,345,1701384661,17:51:01.25,
32.68,346,1701384662,17:51:01.50,
32.68,347,1701384662,17:51:01.75,
32.68,348,1701384662,17:51:02.00,
32.68,349,1701384662,17:51:02.25,
32.68,350,1701384663,17:51:02.50,
32.68,351,1701384663,17:51:02.75,
32.68,352,1701384663,17:51:03.00,
32.68,353,1701384663,17:51:03.25,
32.68,354,1701384664,17:51:03.50,
32.68,355,1701384664,17:51:03.75,
32.68,356,1701384664,17:51:04.00,
32.68,357,1701384664,17:51:04.25,
32.68,358,1701384665,17:51:04.50,
32.68,359,1701384665,17:51:04.75,
32.68,360,1701384665,17:51:05.00,
32.68,361,1701384665,17:51:05.25,
32.68,362,1701384666,17:51:05.50,
32.68,363,1701384666,17:51:05.75,
32.68,364,1701384666,17:51:06.00,
32.68,365,1701384666,17:51:06.25,
32.68,366,1701384667,17:51:06.50,
32.68,367,1701384667,17:51:06.75,
32.66,368,1701384667,17:51:07.00,
32.66,369,1701384667,17:51:07.25,
32.66,370,1701384668,17:51:07.50,
32.66,371,1701384668,17:51:07.75,
32.66,372,1701384668,17:51:08.00,
32.66,373,1701384668,17:51:08.25,
32.66,374,1701384669,17:51:08.50,
32.66,375,1701384669,17:51:08.75,
32.68,376,1701384669,17:51:09.00,
32.68,377,1701384669,17:51:09.25,
32.68,378,1701384670,17:51:09.50,
32.68,379,1701384670,17:51:09.75,
32.66,380,1701384670,17:51:10.00,
32.66,381,1701384670,17:51:10.25,
32.66,382,1701384671,17:51:10.50,
32.66,383,1701384671,17:51:10.75,
32.66,384,1701384671,17:51:11.00,
32.66,385,1701384671,17:51:11.25,
32.66,386,1701384672,17:51:11.50,
32.66,387,1701384672,17:51:11.75,
32.66,388,1701384672,17:51:12.00,
32.66,389,1701384672,17:51:12.25,
32.66,390,1701384673,17:51:12.50,
32.66,391,1701384673,17:51:12.75,
32.65,392,1701384673,17:51:13.00,
32.65,393,1701384673,17:51:13.25,
32.65,394,1701384674,17:51:13.50,
32.65,395,1701384674,17:51:13.75,
32.65,396,1701384674,17:51:14.00,
32.65,397,1701384674,17:51:14.25,
32.65,398,1701384675,17:51:14.50,
32.65,399,1701384675,17:51:14.75,
32.65,400,1701384675,17:51:15.00,
32.65,401,1701384675,17:51:15.25,
32.65,402,1701384676,17:51:15.50,
32.65,403,1701384676,17:51:15.75,
32.65,404,1701384676,17:51:16.00,
32.65,405,1701384676,17:51:16.25,
32.65,406,1701384677,17:51:16.50,
32.65,407,1701384677,17:51:16.75,
32.63,408,1701384677,17:51:17.00,
32.63,409,1701384677,17:51:17.25,
32.63,410,1701384678,17:51:17.50,
32.63,411,1701384678,17:51:17.75,
32.65,412,1701384678,17:51:18.00,
32.65,413,1701384678,17:51:18.25,
32.65,414,1701384679,17:51:18.50,
32.65,415,1701384679,17:51:18.75,
32.63,416,1701384679,17:51:19.00,
32.63,417,1701384679,17:51:19.25,
32.63,418,1701384680,17:51:19.50,
32.63,419,1701384680,17:51:19.75,
32.63,420,1701384680,17:51:20.00,
32.63,421,1701384680,17:51:20.25,
32.63,422,1701384681,17:51:20.50,
32.63,423,1701384681,17:51:20.75,
32.63,424,1701384681,17:51:21.00,
32.63,425,1701384681,17:51:21.25,
32.63,426,1701384682,17:51:21.50,
