session,participant,part_label,clicked_button,round_number,final_cash,bonus,show-up,cash_plus_show,bonus_plus_show
lztzt0mf,7rphswpt,37R,0,33,0,0,12,12,12
lztzt0mf,7yie36v5,561487ad7ffc8a0012812266,1,33,9.87,12.87,12,21.87,24.87
lztzt0mf,n7xvxqf6,5dd2f94a238a913096c52317,1,33,7.15,11.22,12,19.15,23.22
lztzt0mf,37fxkf6n,63cff262503b56190be3eb18,1,33,6.95,9.45,12,18.95,21.45
lztzt0mf,tua9l5ic,629e241d171ec6698e05f149,1,33,6.92,10.89,12,18.92,22.89
lztzt0mf,3z5ajv7g,63254db937c17e8e9200fd54,1,33,9.99,14.52,12,21.99,26.52
lztzt0mf,a053vavw,60c4e1091b936c7b812e5af4,1,33,2.99,7.22,12,14.99,19.22
lztzt0mf,5eiyjet7,5c8db07eb1f89a0016777fe0,1,33,6.88,10.11,12,18.88,22.11
lztzt0mf,xixbk2wi,5d4869cc692e5400197a980c,1,33,9.1,11.6,12,21.1,23.6
lztzt0mf,6w7zusl6,614f89a9441723072040d4de,1,33,7.26,8.76,12,19.26,20.76
lztzt0mf,aq32twsx,5e5e623737be5e1762ad4418,1,33,0.74,3.95,12,12.74,15.95
lztzt0mf,3fjd4p07,5f3d6975ef131710ed519c7a,1,33,1.02,3.88,12,13.02,15.88
lztzt0mf,grvtqx2k,59d9d9cd8fd07a0001842484,1,33,8.37,10.6,12,20.37,22.6
lztzt0mf,q3eed83d,650d90ebf26334f992c31579,1,33,2.51,7.88,12,14.51,19.88
lztzt0mf,5t2lsf81,5ecc6ffce3ca77849333e83e,1,33,8.5,11.9,12,20.5,23.9
lztzt0mf,kr5aqbg4,62bdc30224534809032cf056,1,33,10.03,14.66,12,22.03,26.66
lztzt0mf,2q5u7nzm,64c0a2d8031339ab6ec5e54a,1,33,1.31,6.72,12,13.31,18.72
lztzt0mf,6mcv9x1g,59ac5e9f9fdf6c0001cba8bf,1,33,7.6,10.9,12,19.6,22.9
lztzt0mf,9rew9efn,5e2e7d79acf5fe45b62f859a,1,33,6.31,11.77,12,18.31,23.77
lztzt0mf,v9s0z861,73L,0,33,0,0,12,12,12
