session,part_label,participant_code,page_index,app_name,page_name,epoch_time_completed,round,timeout_happened,is_wait_page,tse,tsw
8h0lckuw,65d942ce4ea2fe978c283416,3gcizzkv,0,,InitializeParticipant,1709837990,-2,0,0,2024-03-07 13:59:50-05:00,2024-03-07 10:59:50-08:00
8h0lckuw,5d453e8723a5bb0001492546,jd7j4awn,0,,InitializeParticipant,1709837990,-2,0,0,2024-03-07 13:59:50-05:00,2024-03-07 10:59:50-08:00
8h0lckuw,5ed543442db0060a955d12e1,v04mphn3,0,,InitializeParticipant,1709837991,-2,0,0,2024-03-07 13:59:51-05:00,2024-03-07 10:59:51-08:00
8h0lckuw,46Y,6b7fjowl,0,,InitializeParticipant,1709837991,-2,0,0,2024-03-07 13:59:51-05:00,2024-03-07 10:59:51-08:00
8h0lckuw,5d012930cfeb82001817c9c9,derjwt5u,0,,InitializeParticipant,1709837991,-2,0,0,2024-03-07 13:59:51-05:00,2024-03-07 10:59:51-08:00
8h0lckuw,6558c5afa08ee83a08287f09,a9xoky1h,0,,InitializeParticipant,1709837992,-2,0,0,2024-03-07 13:59:52-05:00,2024-03-07 10:59:52-08:00
8h0lckuw,24O,b9zh2kol,0,,InitializeParticipant,1709837992,-2,0,0,2024-03-07 13:59:52-05:00,2024-03-07 10:59:52-08:00
8h0lckuw,41X,716x33zn,0,,InitializeParticipant,1709837993,-2,0,0,2024-03-07 13:59:53-05:00,2024-03-07 10:59:53-08:00
8h0lckuw,5c1053202b16ba0001c86317,fzib88y3,0,,InitializeParticipant,1709837993,-2,0,0,2024-03-07 13:59:53-05:00,2024-03-07 10:59:53-08:00
8h0lckuw,6287a8c4a6303ff156cd0853,mlv9qutg,0,,InitializeParticipant,1709837993,-2,0,0,2024-03-07 13:59:53-05:00,2024-03-07 10:59:53-08:00
8h0lckuw,16W,bt39ucvn,0,,InitializeParticipant,1709837993,-2,0,0,2024-03-07 13:59:53-05:00,2024-03-07 10:59:53-08:00
8h0lckuw,6480bdf6d433e2e158870605,4r69si1s,0,,InitializeParticipant,1709837994,-2,0,0,2024-03-07 13:59:54-05:00,2024-03-07 10:59:54-08:00
8h0lckuw,59e7d3f97f3d71000171def0,scgp2zzw,0,,InitializeParticipant,1709837994,-2,0,0,2024-03-07 13:59:54-05:00,2024-03-07 10:59:54-08:00
8h0lckuw,24Z,3hucdghb,0,,InitializeParticipant,1709837994,-2,0,0,2024-03-07 13:59:54-05:00,2024-03-07 10:59:54-08:00
8h0lckuw,5d88db42c1d06e001a1fdcab,o2un372f,0,,InitializeParticipant,1709837994,-2,0,0,2024-03-07 13:59:54-05:00,2024-03-07 10:59:54-08:00
8h0lckuw,5ecd4acdb218ec085c6eefe6,o1smf3j5,0,,InitializeParticipant,1709837996,-2,0,0,2024-03-07 13:59:56-05:00,2024-03-07 10:59:56-08:00
8h0lckuw,77U,zc2aypo5,0,,InitializeParticipant,1709837996,-2,0,0,2024-03-07 13:59:56-05:00,2024-03-07 10:59:56-08:00
8h0lckuw,76J,ikjpcmk9,0,,InitializeParticipant,1709837996,-2,0,0,2024-03-07 13:59:56-05:00,2024-03-07 10:59:56-08:00
8h0lckuw,6517301b6d21d25e19c7e501,11pag8tb,0,,InitializeParticipant,1709837999,-2,0,0,2024-03-07 13:59:59-05:00,2024-03-07 10:59:59-08:00
8h0lckuw,63e537a4b33c1c72be91da82,d2wqwej0,0,,InitializeParticipant,1709838010,-2,0,0,2024-03-07 14:00:10-05:00,2024-03-07 11:00:10-08:00
8h0lckuw,6234d77291179c1badffad36,gaw5a4ki,0,,InitializeParticipant,1709838049,-2,0,0,2024-03-07 14:00:49-05:00,2024-03-07 11:00:49-08:00
8h0lckuw,,4k6cvu2p,0,,InitializeParticipant,1709838159,-2,0,0,2024-03-07 14:02:39-05:00,2024-03-07 11:02:39-08:00
8h0lckuw,,mfngje4o,0,,InitializeParticipant,1709838159,-2,0,0,2024-03-07 14:02:39-05:00,2024-03-07 11:02:39-08:00
8h0lckuw,,rvta7rof,0,,InitializeParticipant,1709838159,-2,0,0,2024-03-07 14:02:39-05:00,2024-03-07 11:02:39-08:00
8h0lckuw,,yxyq8srf,0,,InitializeParticipant,1709838159,-2,0,0,2024-03-07 14:02:39-05:00,2024-03-07 11:02:39-08:00
8h0lckuw,65d942ce4ea2fe978c283416,3gcizzkv,1,consent,ConsentWaitPage,1709838159,-2,0,1,2024-03-07 14:02:39-05:00,2024-03-07 11:02:39-08:00
8h0lckuw,5d453e8723a5bb0001492546,jd7j4awn,1,consent,ConsentWaitPage,1709838159,-2,0,1,2024-03-07 14:02:39-05:00,2024-03-07 11:02:39-08:00
8h0lckuw,5ed543442db0060a955d12e1,v04mphn3,1,consent,ConsentWaitPage,1709838159,-2,0,1,2024-03-07 14:02:39-05:00,2024-03-07 11:02:39-08:00
8h0lckuw,46Y,6b7fjowl,1,consent,ConsentWaitPage,1709838159,-2,0,1,2024-03-07 14:02:39-05:00,2024-03-07 11:02:39-08:00
8h0lckuw,5d012930cfeb82001817c9c9,derjwt5u,1,consent,ConsentWaitPage,1709838159,-2,0,1,2024-03-07 14:02:39-05:00,2024-03-07 11:02:39-08:00
8h0lckuw,24O,b9zh2kol,1,consent,ConsentWaitPage,1709838159,-2,0,1,2024-03-07 14:02:39-05:00,2024-03-07 11:02:39-08:00
8h0lckuw,6558c5afa08ee83a08287f09,a9xoky1h,1,consent,ConsentWaitPage,1709838159,-2,0,1,2024-03-07 14:02:39-05:00,2024-03-07 11:02:39-08:00
8h0lckuw,41X,716x33zn,1,consent,ConsentWaitPage,1709838159,-2,0,1,2024-03-07 14:02:39-05:00,2024-03-07 11:02:39-08:00
8h0lckuw,6287a8c4a6303ff156cd0853,mlv9qutg,1,consent,ConsentWaitPage,1709838159,-2,0,1,2024-03-07 14:02:39-05:00,2024-03-07 11:02:39-08:00
8h0lckuw,5c1053202b16ba0001c86317,fzib88y3,1,consent,ConsentWaitPage,1709838159,-2,0,1,2024-03-07 14:02:39-05:00,2024-03-07 11:02:39-08:00
8h0lckuw,16W,bt39ucvn,1,consent,ConsentWaitPage,1709838159,-2,0,1,2024-03-07 14:02:39-05:00,2024-03-07 11:02:39-08:00
8h0lckuw,6480bdf6d433e2e158870605,4r69si1s,1,consent,ConsentWaitPage,1709838159,-2,0,1,2024-03-07 14:02:39-05:00,2024-03-07 11:02:39-08:00
8h0lckuw,59e7d3f97f3d71000171def0,scgp2zzw,1,consent,ConsentWaitPage,1709838159,-2,0,1,2024-03-07 14:02:39-05:00,2024-03-07 11:02:39-08:00
8h0lckuw,24Z,3hucdghb,1,consent,ConsentWaitPage,1709838159,-2,0,1,2024-03-07 14:02:39-05:00,2024-03-07 11:02:39-08:00
8h0lckuw,5d88db42c1d06e001a1fdcab,o2un372f,1,consent,ConsentWaitPage,1709838159,-2,0,1,2024-03-07 14:02:39-05:00,2024-03-07 11:02:39-08:00
8h0lckuw,5ecd4acdb218ec085c6eefe6,o1smf3j5,1,consent,ConsentWaitPage,1709838159,-2,0,1,2024-03-07 14:02:39-05:00,2024-03-07 11:02:39-08:00
8h0lckuw,77U,zc2aypo5,1,consent,ConsentWaitPage,1709838159,-2,0,1,2024-03-07 14:02:39-05:00,2024-03-07 11:02:39-08:00
8h0lckuw,76J,ikjpcmk9,1,consent,ConsentWaitPage,1709838159,-2,0,1,2024-03-07 14:02:39-05:00,2024-03-07 11:02:39-08:00
8h0lckuw,6517301b6d21d25e19c7e501,11pag8tb,1,consent,ConsentWaitPage,1709838159,-2,0,1,2024-03-07 14:02:39-05:00,2024-03-07 11:02:39-08:00
8h0lckuw,63e537a4b33c1c72be91da82,d2wqwej0,1,consent,ConsentWaitPage,1709838159,-2,0,1,2024-03-07 14:02:39-05:00,2024-03-07 11:02:39-08:00
8h0lckuw,6234d77291179c1badffad36,gaw5a4ki,1,consent,ConsentWaitPage,1709838159,-2,0,1,2024-03-07 14:02:39-05:00,2024-03-07 11:02:39-08:00
8h0lckuw,,4k6cvu2p,1,consent,ConsentWaitPage,1709838159,-2,0,1,2024-03-07 14:02:39-05:00,2024-03-07 11:02:39-08:00
8h0lckuw,,mfngje4o,1,consent,ConsentWaitPage,1709838159,-2,0,1,2024-03-07 14:02:39-05:00,2024-03-07 11:02:39-08:00
8h0lckuw,,rvta7rof,1,consent,ConsentWaitPage,1709838159,-2,0,1,2024-03-07 14:02:39-05:00,2024-03-07 11:02:39-08:00
8h0lckuw,,yxyq8srf,1,consent,ConsentWaitPage,1709838159,-2,0,1,2024-03-07 14:02:39-05:00,2024-03-07 11:02:39-08:00
8h0lckuw,5ed543442db0060a955d12e1,v04mphn3,2,consent,ConsentPage,1709838162,-2,0,0,2024-03-07 14:02:42-05:00,2024-03-07 11:02:42-08:00
8h0lckuw,6480bdf6d433e2e158870605,4r69si1s,2,consent,ConsentPage,1709838163,-2,0,0,2024-03-07 14:02:43-05:00,2024-03-07 11:02:43-08:00
8h0lckuw,24Z,3hucdghb,2,consent,ConsentPage,1709838163,-2,0,0,2024-03-07 14:02:43-05:00,2024-03-07 11:02:43-08:00
8h0lckuw,46Y,6b7fjowl,2,consent,ConsentPage,1709838163,-2,0,0,2024-03-07 14:02:43-05:00,2024-03-07 11:02:43-08:00
8h0lckuw,6558c5afa08ee83a08287f09,a9xoky1h,2,consent,ConsentPage,1709838163,-2,0,0,2024-03-07 14:02:43-05:00,2024-03-07 11:02:43-08:00
8h0lckuw,76J,ikjpcmk9,2,consent,ConsentPage,1709838163,-2,0,0,2024-03-07 14:02:43-05:00,2024-03-07 11:02:43-08:00
8h0lckuw,59e7d3f97f3d71000171def0,scgp2zzw,2,consent,ConsentPage,1709838163,-2,0,0,2024-03-07 14:02:43-05:00,2024-03-07 11:02:43-08:00
8h0lckuw,5d012930cfeb82001817c9c9,derjwt5u,2,consent,ConsentPage,1709838164,-2,0,0,2024-03-07 14:02:44-05:00,2024-03-07 11:02:44-08:00
8h0lckuw,41X,716x33zn,2,consent,ConsentPage,1709838164,-2,0,0,2024-03-07 14:02:44-05:00,2024-03-07 11:02:44-08:00
8h0lckuw,16W,bt39ucvn,2,consent,ConsentPage,1709838164,-2,0,0,2024-03-07 14:02:44-05:00,2024-03-07 11:02:44-08:00
8h0lckuw,5d88db42c1d06e001a1fdcab,o2un372f,2,consent,ConsentPage,1709838164,-2,0,0,2024-03-07 14:02:44-05:00,2024-03-07 11:02:44-08:00
8h0lckuw,6287a8c4a6303ff156cd0853,mlv9qutg,2,consent,ConsentPage,1709838165,-2,0,0,2024-03-07 14:02:45-05:00,2024-03-07 11:02:45-08:00
8h0lckuw,65d942ce4ea2fe978c283416,3gcizzkv,2,consent,ConsentPage,1709838165,-2,0,0,2024-03-07 14:02:45-05:00,2024-03-07 11:02:45-08:00
8h0lckuw,63e537a4b33c1c72be91da82,d2wqwej0,2,consent,ConsentPage,1709838166,-2,0,0,2024-03-07 14:02:46-05:00,2024-03-07 11:02:46-08:00
8h0lckuw,77U,zc2aypo5,2,consent,ConsentPage,1709838166,-2,0,0,2024-03-07 14:02:46-05:00,2024-03-07 11:02:46-08:00
8h0lckuw,24O,b9zh2kol,2,consent,ConsentPage,1709838167,-2,0,0,2024-03-07 14:02:47-05:00,2024-03-07 11:02:47-08:00
8h0lckuw,5d453e8723a5bb0001492546,jd7j4awn,2,consent,ConsentPage,1709838171,-2,0,0,2024-03-07 14:02:51-05:00,2024-03-07 11:02:51-08:00
8h0lckuw,5ecd4acdb218ec085c6eefe6,o1smf3j5,2,consent,ConsentPage,1709838171,-2,0,0,2024-03-07 14:02:51-05:00,2024-03-07 11:02:51-08:00
8h0lckuw,5c1053202b16ba0001c86317,fzib88y3,2,consent,ConsentPage,1709838175,-2,0,0,2024-03-07 14:02:55-05:00,2024-03-07 11:02:55-08:00
8h0lckuw,6234d77291179c1badffad36,gaw5a4ki,2,consent,ConsentPage,1709838176,-2,0,0,2024-03-07 14:02:56-05:00,2024-03-07 11:02:56-08:00
8h0lckuw,6517301b6d21d25e19c7e501,11pag8tb,2,consent,ConsentPage,1709838187,-2,0,0,2024-03-07 14:03:07-05:00,2024-03-07 11:03:07-08:00
8h0lckuw,,4k6cvu2p,2,consent,ConsentPage,1709838193,-2,1,0,2024-03-07 14:03:13-05:00,2024-03-07 11:03:13-08:00
8h0lckuw,,mfngje4o,2,consent,ConsentPage,1709838196,-2,1,0,2024-03-07 14:03:16-05:00,2024-03-07 11:03:16-08:00
8h0lckuw,,rvta7rof,2,consent,ConsentPage,1709838198,-2,1,0,2024-03-07 14:03:18-05:00,2024-03-07 11:03:18-08:00
8h0lckuw,,yxyq8srf,2,consent,ConsentPage,1709838200,-2,1,0,2024-03-07 14:03:20-05:00,2024-03-07 11:03:20-08:00
8h0lckuw,65d942ce4ea2fe978c283416,3gcizzkv,39,rounds,PreMarketWait,1709838477,1,0,1,2024-03-07 14:07:57-05:00,2024-03-07 11:07:57-08:00
8h0lckuw,5d453e8723a5bb0001492546,jd7j4awn,39,rounds,PreMarketWait,1709838477,1,0,1,2024-03-07 14:07:57-05:00,2024-03-07 11:07:57-08:00
8h0lckuw,5ed543442db0060a955d12e1,v04mphn3,39,rounds,PreMarketWait,1709838477,1,0,1,2024-03-07 14:07:57-05:00,2024-03-07 11:07:57-08:00
8h0lckuw,46Y,6b7fjowl,39,rounds,PreMarketWait,1709838477,1,0,1,2024-03-07 14:07:57-05:00,2024-03-07 11:07:57-08:00
8h0lckuw,5d012930cfeb82001817c9c9,derjwt5u,39,rounds,PreMarketWait,1709838477,1,0,1,2024-03-07 14:07:57-05:00,2024-03-07 11:07:57-08:00
8h0lckuw,24O,b9zh2kol,39,rounds,PreMarketWait,1709838477,1,0,1,2024-03-07 14:07:57-05:00,2024-03-07 11:07:57-08:00
8h0lckuw,6558c5afa08ee83a08287f09,a9xoky1h,39,rounds,PreMarketWait,1709838477,1,0,1,2024-03-07 14:07:57-05:00,2024-03-07 11:07:57-08:00
8h0lckuw,41X,716x33zn,39,rounds,PreMarketWait,1709838477,1,0,1,2024-03-07 14:07:57-05:00,2024-03-07 11:07:57-08:00
