session,part_label,round,cash,shares,periods_until_auto_buy,periods_until_auto_sell,shares_transacted,trans_cost,cash_after_trade,interest_earned,dividend_earned,cash_result,shares_result,f0,f1,f2,f3,fcast_rnd_0,fcast_rnd_1,fcast_rnd_2,fcast_rnd_3,fcast_err_0,fcast_err_1,fcast_err_2,fcast_err_3,risk_1,risk_2,risk_3,risk_4,risk_rh,risk_rl,risk_sh,risk_sl,risk_phi_1,risk_phi_2,risk_phi_3,risk_phi_4,risk_reward,dose_r,dose_mu,is_mv,buy_quant,sell_quant,market_price,stock_value,equity
898aphuw,5700616b8a49c7000d0c73ad,2,140.6,2.0,-99,-99,0,0.0,140.6,7.03,2.0,149.63,2.0,16.0,18.0,21.0,24.0,2.0,4.0,7.0,12.0,2.0,4.0,4.0,2.0,0.0,0.0,1.0,1.0,19.75,1.25,9.25,7.5,27.0,45.0,64.0,60.0,,0.9115065828384312,3.306240074622527,False,2,2,16.0,32.0,172.6
898aphuw,5885f97f41da4500014d3645,2,109.0,4.0,-99,-99,4,-72.0,37.0,1.85,8.0,46.85,8.0,18.0,22.0,29.0,45.0,2.0,4.0,7.0,12.0,0.0,0.0,-4.0,-19.0,0.0,0.0,0.0,1.0,19.75,1.25,9.25,7.5,27.0,45.0,64.0,86.0,,1.2025433152830642,3.2094602165882096,False,5,0,16.0,64.0,173.0
898aphuw,kfzc0i99_59A,2,109.0,4.0,-99,-99,0,0.0,109.0,5.45,4.0,118.45,4.0,18.0,17.0,20.0,15.0,2.0,4.0,7.0,12.0,0.0,5.0,5.0,11.0,0.0,0.0,0.0,1.0,19.75,1.25,9.25,7.5,27.0,45.0,64.0,86.0,,1.2025433152830642,3.2094602165882096,False,2,1,16.0,64.0,173.0
898aphuw,5c9623dd35599200175642e4,2,109.0,4.0,-99,-99,0,0.0,109.0,5.45,4.0,118.45,4.0,18.0,19.0,20.0,22.0,2.0,4.0,7.0,12.0,0.0,3.0,5.0,4.0,0.0,0.0,0.0,1.0,19.75,1.25,9.25,7.5,27.0,45.0,64.0,86.0,,1.2025433152830642,3.2094602165882096,False,4,0,16.0,64.0,173.0
898aphuw,666e02576e916cd782e9ae12,2,124.8,3.0,-99,-99,-1,18.0,142.8,7.14,2.0,151.94,2.0,19.0,20.0,17.0,15.0,2.0,4.0,7.0,12.0,-1.0,2.0,8.0,11.0,0.0,0.0,0.0,0.0,19.75,1.25,9.25,7.5,27.0,45.0,64.0,86.0,,1.005127305522932,3.600066504131441,False,1,1,16.0,48.0,172.8
898aphuw,kfzc0i99_82W,2,140.6,2.0,-99,-99,0,0.0,140.6,7.03,2.0,149.63,2.0,17.0,19.0,21.0,23.0,2.0,4.0,7.0,12.0,1.0,3.0,4.0,3.0,,0.0,0.0,1.0,19.75,1.25,9.25,7.5,27.0,27.0,45.0,64.0,,1.0567686258413511,3.4978892570180085,False,3,0,16.0,32.0,172.6
898aphuw,66429bad9e92786ee8928856,2,30.0,9.0,-99,-99,0,0.0,30.0,1.5,9.0,40.5,9.0,18.0,20.0,21.0,22.0,2.0,4.0,7.0,12.0,0.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,19.75,1.25,9.25,7.5,27.0,16.0,12.0,10.0,,-1.2469064602997828,2.928753842163692,False,1,0,16.0,144.0,174.0
898aphuw,kfzc0i99_50M,2,77.4,6.0,-99,-99,0,0.0,77.4,3.87,6.0,87.27,6.0,18.0,21.0,27.0,34.0,2.0,4.0,7.0,12.0,0.0,1.0,-2.0,-8.0,,,,,19.75,1.25,9.25,7.5,27.0,27.0,27.0,27.0,,,,False,3,0,16.0,96.0,173.4
898aphuw,65412ca42e0e2fbb27b8a7b2,2,30.0,9.0,-99,-99,1,-18.0,12.0,0.6,10.0,22.6,10.0,15.0,18.0,,,2.0,4.0,7.0,12.0,3.0,4.0,,,0.0,0.0,1.0,0.0,19.75,1.25,9.25,7.5,27.0,45.0,64.0,60.0,,0.5208756744001397,3.3641431875474472,False,1,0,16.0,144.0,174.0
898aphuw,5bf0b1ecaf38d100016bd609,2,172.2,0.0,-99,-99,0,0.0,172.2,8.61,0.0,180.81,0.0,17.0,18.0,20.0,22.0,2.0,4.0,7.0,12.0,1.0,4.0,5.0,4.0,0.0,0.0,1.0,1.0,19.75,1.25,9.25,7.5,27.0,45.0,64.0,60.0,,0.9115065828384312,3.306240074622527,False,5,0,16.0,0.0,172.2
