1721409893.000000, 1721409893.000000, 1721409893.000000
32.000000, 32.000000, 32.000000
-50,-11,42
-58,-12,37
-54,-12,31
-46,-9,28
-50,-6,29
-55,-11,37
-49,-10,44
-49,-11,46
-57,-11,42
-53,-7,41
-63,-8,30
-64,-7,31
-65,-10,31
-58,-18,31
-58,-21,31
-52,-23,33
-52,-26,32
-52,-29,30
-53,-27,26
-53,-27,27
-53,-25,30
-51,-26,32
-50,-22,38
-48,-28,37
-44,-26,39
-47,-23,40
-49,-16,38
-46,-13,38
-32,-15,38
-23,-12,40
-14,-15,44
-10,-15,50
-13,-21,56
-14,-21,57
-27,-23,58
-26,-26,59
-21,-28,60
-25,-23,56
-40,-21,49
-33,-23,55
-23,-22,59
-26,-21,55
-29,-18,53
-24,-18,59
-24,-17,61
-34,-18,50
-33,-20,50
-33,-22,53
-38,-24,51
-38,-27,50
-42,-26,49
-40,-26,45
-36,-26,44
-33,-24,46
-37,-18,49
-33,-16,48
-34,-13,44
-35,-9,49
-26,-7,52
-26,-7,51
-28,-7,49
-28,-9,49
-30,-16,51
-30,-18,53
-32,-20,53
-35,-21,53
-35,-20,55
-35,-18,54
-34,-15,53
-35,-13,51
-34,-12,51
-34,-9,48
-42,-7,51
-38,-8,66
-38,-13,58
-37,-12,50
-34,-11,55
-34,-11,55
-36,-11,53
-33,-10,55
-35,-8,54
-37,-8,52
-38,-8,52
-33,-7,52
-36,-8,51
-37,-9,51
-39,-11,50
-38,-10,51
-38,-9,52
-40,-9,52
-39,-8,51
-41,-8,49
-43,-10,48
-42,-11,49
-45,-9,56
-46,-12,53
-46,-19,45
-49,-21,40
-48,-28,17
-46,-31,8
-53,-31,-12
-61,-29,-17
-65,-25,-11
-63,-22,-7
-62,-20,-5
-57,-16,-8
-57,-18,-9
-59,-16,-16
-63,-9,-16
-39,-3,19
-50,-18,-15
-51,-30,-50
-49,-34,-49
-42,-33,-43
-51,-32,-45
-46,-32,-45
-47,-33,-46
-48,-30,-49
-44,-24,-38
-46,-25,-34
-50,-25,-44
-52,-26,-41
-45,-24,-32
-51,-25,-32
-45,-26,-35
-40,-27,-34
-45,-27,-33
-48,-26,-34
-46,-27,-34
-41,-27,-32
-48,-27,-35
-50,-27,-34
-48,-28,-34
-48,-28,-32
-49,-28,-31
-49,-28,-32
-48,-29,-32
-48,-29,-32
-50,-29,-29
-49,-29,-33
-50,-30,-31
-54,-28,-31
-54,-29,-31
-50,-31,-31
-49,-30,-25
-50,-30,-25
-50,-29,-24
-51,-29,-28
-51,-29,-28
-52,-28,-25
-52,-28,-25
-52,-29,-27
-51,-28,-26
-53,-28,-26
-52,-28,-25
-53,-29,-25
-53,-29,-22
-56,-30,-22
-56,-34,-17
-62,-38,-14
-75,-32,-17
-74,-32,-12
-71,-36,0
-70,-42,-15
-36,-44,-20
-33,-31,1
-40,-28,24
-17,-25,30
-2,-14,43
-16,-8,47
-23,12,57
-10,12,61
2,8,64
-5,10,65
-6,12,63
5,15,60
6,14,62
2,20,64
1,18,60
5,22,68
8,19,63
18,17,65
21,18,64
15,14,56
16,13,54
20,17,59
19,18,63
9,16,59
14,15,57
11,17,56
3,23,59
9,31,75
-8,37,74
-11,41,81
-7,44,86
-1,46,68
-30,22,33
-20,16,42
2,7,45
-24,-15,21
-35,-26,43
-14,-15,59
-10,-36,44
-22,-28,47
-34,-25,49
-43,-26,40
-60,-27,29
-55,-26,34
-58,-17,42
-59,-11,39
-54,-10,38
-48,-8,37
-54,-7,32
-58,-7,28
-55,-8,29
-58,-11,30
-60,-13,29
-63,-12,29
-80,-15,19
-72,-20,24
-53,-23,34
-51,-29,44
-57,-32,45
-47,-25,31
-30,-13,35
-16,-6,46
-25,7,45
-20,6,50
-2,13,66
0,14,67
-7,14,64
-12,12,59
-5,16,68
-13,12,63
-9,9,60
-9,10,63
-13,12,55
-18,16,57
-8,14,72
-11,10,65
-19,19,59
-5,14,57
-10,13,58
-18,13,60
-20,11,59
-18,6,59
-21,5,60
-26,4,59
-25,0,59
-19,-2,59
-16,-3,59
-18,-8,58
-15,-7,60
-11,-9,60
-17,-9,58
-26,-11,60
-27,-11,59
-24,-11,57
-23,-11,55
-20,-12,57
-21,-14,58
-24,-15,59
-25,-19,57
-21,-22,59
-24,-19,60
-23,-18,59
-29,-14,55
-28,-13,54
-24,-14,53
-26,-15,54
-26,-13,59
-27,-9,65
-40,6,78
-37,8,81
-20,10,73
-21,6,67
-23,-8,54
-17,-22,37
-14,-33,25
-16,-46,20
-24,-44,20
-25,-47,28
-34,-38,35
-43,-34,37
-46,-34,39
-61,-30,36
-55,-30,37
-40,-27,44
-35,-22,52
-41,-22,50
-46,-20,52
-38,-24,51
-37,-22,49
-31,-23,52
-36,-24,46
-39,-23,48
-42,-20,49
-38,-19,49
-36,-21,42
-36,-21,47
-46,-18,50
-40,-21,46
-36,-22,44
-36,-22,43
-37,-20,44
-37,-18,46
-34,-18,53
-37,-17,56
-43,-16,56
-42,-19,48
-43,-17,52
-47,-19,43
-43,-19,39
-38,-23,38
-38,-23,37
-45,-27,27
-47,-28,24
-50,-26,31
-52,-26,32
-46,-24,35
-44,-24,34
-44,-20,38
-43,-19,38
-48,-23,40
-49,-21,41
-44,-16,44
-36,-20,48
-42,-16,47
-68,-14,27
-67,-15,24
-57,-19,27
-55,-21,29
-58,-22,36
-51,-23,35
-38,-18,30
-41,-15,28
-62,-16,33
-58,-20,32
-45,-21,35
-41,-22,39
-54,-19,42
-50,-20,38
-50,-18,38
-52,-18,36
-59,-19,32
-58,-17,34
-53,-16,42
-50,-19,37
-47,-17,31
-40,-16,31
-29,-15,44
-32,-21,47
-37,-21,49
-41,-21,43
-38,-18,47
-26,-15,58
-25,-15,58
-29,-17,55
-26,-17,54
-31,-15,54
-29,-15,52
-40,-14,47
-41,-13,54
-33,-18,62
-26,-12,56
-34,-12,54
-34,-11,53
-36,-11,51
-33,-10,54
-31,-11,54
-31,-12,53
-34,-13,53
-30,-14,55
-30,-14,55
-30,-14,55
-28,-14,56
-31,-12,54
-33,-12,53
-30,-11,54
-32,-12,54
-30,-12,55
-30,-13,55
-31,-13,54
-30,-12,54
-31,-12,55
-32,-13,54
-33,-13,53
-33,-13,52
-33,-13,53
-33,-13,54
-32,-12,54
-34,-12,53
-33,-12,53
-33,-12,53
-33,-12,53
-33,-12,53
-34,-12,52
-33,-12,53
-32,-12,53
-33,-12,54
-33,-12,53
-33,-12,53
-33,-12,53
-33,-12,53
-33,-12,53
-32,-12,53
-33,-12,53
-33,-12,53
-33,-12,53
-33,-13,53
-33,-12,52
-33,-12,53
-33,-12,54
-33,-12,53
-33,-12,53
-33,-12,53
-33,-12,53
-33,-13,53
-33,-12,53
-32,-13,53
-33,-13,53
-33,-13,53
-32,-12,53
-33,-12,53
-33,-13,53
-33,-13,53
-33,-13,53
-33,-12,53
-33,-12,53
-33,-12,53
-33,-12,53
-32,-13,53
-33,-13,53
-33,-13,53
-33,-12,53
-32,-13,53
-33,-13,54
-33,-13,53
-33,-13,53
-32,-13,53
-33,-13,53
-32,-13,53
-32,-13,54
-32,-13,53
-32,-13,53
-32,-13,54
-32,-13,53
-33,-13,53
-32,-13,53
-32,-13,53
-33,-13,53
-33,-13,53
-33,-13,53
-32,-13,53
-32,-13,54
-33,-13,54
-32,-13,53
-33,-13,53
-32,-13,53
-32,-13,53
-32,-13,53
-32,-13,53
-32,-13,53
-32,-13,53
-33,-13,53
-33,-13,53
-32,-13,53
-32,-13,54
-32,-13,53
-32,-13,53
-33,-13,54
-32,-13,53
-33,-13,53
-32,-13,53
-33,-13,53
-32,-13,53
-32,-13,53
-32,-13,53
-32,-13,53
-32,-13,53
-32,-13,54
-33,-13,53
-33,-13,53
-33,-13,53
-32,-13,53
-33,-13,53
-33,-13,53
-32,-13,53
-33,-13,53
-33,-13,53
-33,-13,53
-32,-13,53
-33,-13,53
-32,-13,53
-32,-13,53
-33,-13,53
-33,-13,53
-33,-13,53
-33,-13,53
-34,-12,54
-35,-10,54
-36,-6,51
-36,-3,50
-34,-3,49
-30,-6,54
-31,-8,52
-24,-10,55
-25,-10,57
-19,-14,60
-10,-15,61
-11,-15,59
-14,-15,59
-13,-12,73
-20,-11,74
-17,-11,68
-20,-10,64
-20,-9,59
-24,-8,56
-21,-7,58
-21,-8,58
-20,-11,56
-16,-10,53
-23,-7,54
-23,-4,65
-23,-8,63
-13,-9,62
-12,-11,57
-9,-8,56
-18,-6,57
-18,-6,67
-18,-7,65
-15,-9,60
-18,-9,57
-18,-11,62
-14,-13,56
-13,-10,53
-16,-4,60
-18,-4,61
-21,-5,58
-23,-7,61
-20,-8,61
-23,-8,60
-28,-8,60
-21,-8,58
-25,-5,58
-25,-6,59
-26,-6,58
-27,-6,56
-27,-6,59
-29,-6,58
-26,-7,58
-26,-7,57
-26,-6,57
-29,-6,57
-28,-6,57
-27,-6,57
-28,-6,57
-28,-6,57
-28,-6,57
-27,-6,57
-27,-6,57
-28,-6,56
-28,-5,57
-27,-6,58
-27,-6,57
-28,-6,57
-28,-6,57
-27,-6,57
-28,-6,57
-28,-6,57
-28,-6,57
-28,-5,57
-28,-6,57
-28,-6,57
