56fa002e8425ef000b3a4276,19.51
595727e6dff58d0001e5b883,18.77
60d9e7e76cf2ab6d21eb5f99,18.77
66d5d10f4defd1d7b2cdd5c5,19.63
6658e4f0181c5007b04398cb,20.93
66bcc667ba1619c089fecbbb,20.61
66366f1058966314508ed6e4,20.52
5bdfb648484288000130dad0,16.43
66d36598db306c67c37bde18,19.03
66a030cb2b449ce5c9a783f8,14.51
66a6840ee7dacc037e45681c,21.83
668ea0c518a4d78ff5007041,19.61
66e8f81e357d882730f18be0,20.08
6692de3d28a72d1606ce3331,17.79
66868c8deb90d14934882ee5,17.76
65ade7fd7386573b4cb3ec4a,21.07
665cbb56d9ecb20564b9b607,15.76
