6634c1d8631a52e31f7bbfd1,7.06
5f2a12f5837dd81e5881b7cc,0.0
6018a5c0e1600b187ccb8693,4.04
66613916abcfcbe01b57b32a,3.6
66413412d9d93d6b67936792,1.79
6679e88eb948e8a4b08a39fb,6.58
666dbb1357a8cfb6025951df,5.23
66799662d6513151e840c6af,6.46
5b07b71c68eff50001d1c859,5.15
668a2372b4438a45e1040399,9.06
62a0b34cbcc5987a8fa73c39,6.53
666b01e50f90e4a24a5b5ea3,7.41
5b9c2c816f92f30001ecce7a,4.88
662f93c33fe9ba41a6319363,0.0
5cf5ea4dea7a80000156520e,3.48
5fb5ef0ab61b9e02d5752768,2.79
65e85fa344091288e6f10cd7,4.97
6674967028c3e0b548772c94,0.0
590eb4006d77630001d3a28a,1.71
