time,value,zscore,tonic,phasic,page,rnd
1722449250.244002,0.039892543107271194,0.9861409628727551,0.9001103548198698,0.08603060802253151,ConsentWaitPage,-2
1722449250.494002,0.040133725851774216,1.1163866919199945,0.88237777607989,0.23400891580972544,ConsentWaitPage,-2
1722449250.744002,0.039438553154468536,0.7409731234207774,0.8660858697832357,-0.12511274639276546,ConsentWaitPage,-2
1722449250.994002,0.040006041526794434,1.0474334256771518,0.8514512773050888,0.1959821483419109,ConsentWaitPage,-2
1722449251.244002,0.03660110756754875,-0.7913303996267035,0.8386652822476399,-1.6299956819042736,ConsentWaitPage,-2
1722449251.494002,0.040076978504657745,1.0857414664006007,0.8278866100043039,0.25785485636663763,ConsentWaitPage,-2
1722449251.744002,0.03780702129006386,-0.14010175439050568,0.8192354078739842,-0.9593371622938405,ConsentWaitPage,-2
1722449251.994002,0.03836032375693321,0.15869774442742243,0.8127886909491919,-0.6540909465507841,ConsentWaitPage,-2
1722449252.244002,0.03794889152050018,-0.06348768470921651,0.8085774643228173,-0.8720651490606923,ConsentWaitPage,-2
1722449252.494002,0.037906330078840256,-0.08647210679016415,0.8065856451609346,-0.8930577519793854,ConsentWaitPage,-2
1722449252.744002,0.03817588835954666,0.05909724089957678,0.8067508142145046,-0.7476535733428282,ConsentWaitPage,-2
1722449252.994002,0.040601905435323715,1.3692173465760276,0.8089667314494475,0.5602506150990818,ConsentWaitPage,-2
1722449253.244002,0.04051678255200386,1.3232485024141323,0.8130874612691852,0.510161041117871,ConsentWaitPage,-2
1722449253.494002,0.03923993185162544,0.6337118164544854,0.8189328758857861,-0.1852210594579356,ConsentWaitPage,-2
1722449253.744002,0.04115520790219307,1.6680168453939557,0.8262952462055315,0.8417215991622458,ConsentWaitPage,-2
1722449253.994002,0.04027559980750084,1.1930027733668926,0.8349465912322608,0.35805618210892187,ConsentWaitPage,-2
1722449254.244002,0.03987835720181465,0.9784801594343088,0.8446464398514174,0.13383371955765433,ConsentWaitPage,-2
1722449254.494002,0.03929667919874191,0.6643570419738793,0.855149661240828,-0.19079261929171631,ConsentWaitPage,-2
1722449254.744002,0.04037490859627724,1.2466324209672341,0.8662140392486942,0.3804183816942281,ConsentWaitPage,-2
1722449254.994002,0.04116939380764961,1.675677648832402,0.8776072987986112,0.79807035000991,ConsentWaitPage,-2
1722449255.244002,0.040587715804576874,1.3615545313719724,0.8891133359599813,0.47244119538850576,ConsentWaitPage,-2
1722449255.494002,0.04040328413248062,1.2619560396097356,0.9005374554458219,0.3614185841407738,ConsentWaitPage,-2
1722449255.744002,0.0410984568297863,1.6373696081089528,0.911710477591167,0.7256591304949297,ConsentWaitPage,-2
1722449255.994002,0.039608798921108246,0.8329108117445678,0.9224916381885617,-0.08958082646663756,ConsentWaitPage,-2
1722449256.244002,0.0395946130156517,0.8252500083061216,0.9327702648757802,-0.10752025659217024,ConsentWaitPage,-2
1722449256.494002,0.036955785006284714,-0.5997942195406761,0.9424662686929407,-1.542260488256082,ConsentWaitPage,-2
1722449256.744002,0.04104170948266983,1.606724382589559,0.9515295350912799,0.655194847475775,ConsentWaitPage,-2
1722449256.994002,0.039722297340631485,0.8942032745489645,0.9599383327103839,-0.06573505818404202,ConsentWaitPage,-2
1722449257.244002,0.037906330078840256,-0.08647210679016415,0.9676968804356488,-1.054168987248629,ConsentWaitPage,-2
1722449257.494002,0.04080052673816681,1.4764786535423193,0.9748322253835774,0.5016464281356648,ConsentWaitPage,-2
1722449257.744002,0.04027559980750084,1.1930027733668926,0.9813905892536701,0.21161218408982702,ConsentWaitPage,-2
1722449257.994002,0.040076978504657745,1.0857414664006007,0.9874333405176607,0.09830812585917911,ConsentWaitPage,-2
1722449258.244002,0.04040328413248062,1.2619560396097356,0.9930327471903876,0.2689232923951887,ConsentWaitPage,-2
1722449258.494002,0.040360722690820694,1.238971617528788,0.9982676606570208,0.24070395684718995,ConsentWaitPage,-2
1722449258.744002,0.04031816124916077,1.2159871954478403,1.0032192753822202,0.21276792004061754,ConsentWaitPage,-2
1722449258.994002,0.03935343027114868,0.6950042792588821,1.0079671013883447,-0.3129628221548871,ConsentWaitPage,-2
1722449259.244002,0.0396939218044281,0.8788796559064631,1.012585274579047,-0.13370561869841918,ConsentWaitPage,-2
1722449259.494002,0.03871500492095947,0.35023593627905864,1.017139312607881,-0.6669033763550504,ConsentWaitPage,-2
1722449259.744002,0.03769352287054062,-0.20139421719490233,1.021683399812402,-1.2230776170339,ConsentWaitPage,-2
1722449259.994002,0.039083871990442276,0.5494349315691411,1.026258253579511,-0.47682332203729827,ConsentWaitPage,-2
1722449260.244002,0.04051678255200386,1.3232485024141323,1.0308895878327575,0.2923589145541643,ConsentWaitPage,-2
1722449260.494002,0.039708107709884644,0.8865404593449094,1.0355871504715666,-0.14904669115408054,ConsentWaitPage,-2
1722449260.744002,0.04037490859627724,1.2466324209672341,1.0403442753197838,0.20628814561990083,ConsentWaitPage,-2
1722449260.994002,0.04116939380764961,1.675677648832402,1.0451378604259776,0.6305397883788513,ConsentWaitPage,-2
1722449261.244002,0.038842689245939255,0.41918920252190156,1.0499286671157064,-0.6307394646212862,ConsentWaitPage,-2
1722449261.494002,0.04139639064669609,1.798262574441195,1.0546618297460668,0.743600744667863,ConsentWaitPage,-2
1722449261.744002,0.04220506176352501,2.2349686057448093,1.0592674746189346,1.1757011310989562,ConsentWaitPage,-2
1722449261.994002,0.040190473198890686,1.1470319174393886,1.0636613668460106,0.08337055056693876,ConsentWaitPage,-2
