session,participant,part_label,round_number,type,quantity,price,quantity_final,original_quantity,automatic,market_price,volume
tyz81wyd,15dx0pze,42P,1,BUY,1,69.0,1,,0,69.0,1
tyz81wyd,b756p5lc,33X,1,BUY,1,18.0,0,,0,69.0,1
tyz81wyd,nuf0rynv,59L,1,SELL,1,58.0,1,,0,69.0,1
tyz81wyd,nuf0rynv,59L,1,BUY,1,27.0,0,,0,69.0,1
tyz81wyd,mylj7izc,79R,1,BUY,1,12.0,0,,0,69.0,1
tyz81wyd,mylj7izc,79R,1,BUY,1,22.0,0,,0,69.0,1
tyz81wyd,ol14eaz1,42X,1,BUY,2,22.0,0,,0,69.0,1
tyz81wyd,ol14eaz1,42X,1,SELL,2,79.0,0,,0,69.0,1
tyz81wyd,15dx0pze,42P,2,SELL,1,34.0,1,,0,43.0,2
tyz81wyd,15dx0pze,42P,2,SELL,1,18.0,1,,0,43.0,2
tyz81wyd,6ny6xs08,15R,2,SELL,2,63.0,0,,0,43.0,2
tyz81wyd,nuf0rynv,59L,2,BUY,1,39.0,0,,0,43.0,2
tyz81wyd,nuf0rynv,59L,2,SELL,3,80.0,0,,0,43.0,2
tyz81wyd,mylj7izc,79R,2,BUY,1,88.0,1,,0,43.0,2
tyz81wyd,mylj7izc,79R,2,SELL,1,123.0,0,,0,43.0,2
tyz81wyd,ol14eaz1,42X,2,SELL,2,99.0,0,,0,43.0,2
tyz81wyd,ol14eaz1,42X,2,BUY,2,43.0,1,,0,43.0,2
tyz81wyd,15dx0pze,42P,3,SELL,2,64.0,0,,0,42.0,2
tyz81wyd,b756p5lc,33X,3,BUY,2,46.0,2,,0,42.0,2
tyz81wyd,nuf0rynv,59L,3,SELL,1,42.0,1,,0,42.0,2
tyz81wyd,nuf0rynv,59L,3,SELL,1,46.0,0,,0,42.0,2
tyz81wyd,nuf0rynv,59L,3,SELL,1,37.0,1,,0,42.0,2
tyz81wyd,mylj7izc,79R,3,SELL,1,61.0,0,,0,42.0,2
tyz81wyd,ol14eaz1,42X,3,BUY,2,11.0,0,,0,42.0,2
tyz81wyd,ol14eaz1,42X,3,SELL,1,54.0,0,,0,42.0,2
tyz81wyd,ol14eaz1,42X,3,SELL,1,97.0,0,,0,42.0,2
tyz81wyd,ol14eaz1,42X,3,SELL,1,85.0,0,,0,42.0,2
tyz81wyd,15dx0pze,42P,4,BUY,1,96.0,1,,0,46.0,1
tyz81wyd,6ny6xs08,15R,4,BUY,3,41.0,0,,0,46.0,1
tyz81wyd,nuf0rynv,59L,4,BUY,1,33.0,0,,0,46.0,1
tyz81wyd,nuf0rynv,59L,4,BUY,1,32.0,0,,0,46.0,1
tyz81wyd,nuf0rynv,59L,4,BUY,2,32.0,0,,0,46.0,1
tyz81wyd,nuf0rynv,59L,4,SELL,1,46.0,1,,0,46.0,1
tyz81wyd,mylj7izc,79R,4,SELL,1,63.0,0,,0,46.0,1
tyz81wyd,mylj7izc,79R,4,SELL,1,87.0,0,,0,46.0,1
tyz81wyd,ol14eaz1,42X,4,BUY,2,13.0,0,,0,46.0,1
tyz81wyd,ol14eaz1,42X,4,SELL,2,67.0,0,,0,46.0,1
tyz81wyd,ol14eaz1,42X,4,SELL,1,90.0,0,,0,46.0,1
tyz81wyd,b756p5lc,33X,5,SELL,3,76.0,0,,0,46.0,0
tyz81wyd,b756p5lc,33X,5,SELL,3,69.0,0,,0,46.0,0
tyz81wyd,6ny6xs08,15R,5,BUY,2,45.0,0,,0,46.0,0
tyz81wyd,nuf0rynv,59L,5,BUY,1,44.0,0,,0,46.0,0
tyz81wyd,nuf0rynv,59L,5,BUY,2,43.0,0,,0,46.0,0
tyz81wyd,nuf0rynv,59L,5,BUY,1,44.0,0,,0,46.0,0
tyz81wyd,mylj7izc,79R,5,SELL,2,49.0,0,,0,46.0,0
tyz81wyd,mylj7izc,79R,5,SELL,2,52.0,0,,0,46.0,0
tyz81wyd,ol14eaz1,42X,5,SELL,1,55.0,0,,0,46.0,0
tyz81wyd,ol14eaz1,42X,5,SELL,2,69.0,0,,0,46.0,0
tyz81wyd,ol14eaz1,42X,5,SELL,1,47.0,0,,0,46.0,0
tyz81wyd,7xzb4fsl,49J,5,BUY,2,37.0,0,,0,46.0,0
tyz81wyd,b756p5lc,33X,6,BUY,1,51.0,1,,0,49.0,3
tyz81wyd,6ny6xs08,15R,6,SELL,3,55.0,0,,0,49.0,3
tyz81wyd,6ny6xs08,15R,6,BUY,2,49.0,2,,0,49.0,3
tyz81wyd,nuf0rynv,59L,6,BUY,2,47.0,0,,0,49.0,3
tyz81wyd,nuf0rynv,59L,6,BUY,2,40.0,0,,0,49.0,3
tyz81wyd,mylj7izc,79R,6,SELL,1,38.0,1,,0,49.0,3
tyz81wyd,mylj7izc,79R,6,SELL,2,49.0,1,,0,49.0,3
tyz81wyd,ol14eaz1,42X,6,SELL,1,45.0,1,,0,49.0,3
tyz81wyd,ol14eaz1,42X,6,SELL,2,58.0,0,,0,49.0,3
tyz81wyd,ol14eaz1,42X,6,BUY,1,11.0,0,,0,49.0,3
