timestamp_unix,timestamp_iso,participant_full_id,activity_counts,missing_value_reason
1720396800000,2024-07-08T00:00:00Z,1211-1-1-0708,,device_not_recording
1720396860000,2024-07-08T00:01:00Z,1211-1-1-0708,,device_not_recording
1720396920000,2024-07-08T00:02:00Z,1211-1-1-0708,,device_not_recording
1720396980000,2024-07-08T00:03:00Z,1211-1-1-0708,,device_not_recording
1720397040000,2024-07-08T00:04:00Z,1211-1-1-0708,,device_not_recording
1720397100000,2024-07-08T00:05:00Z,1211-1-1-0708,,device_not_recording
1720397160000,2024-07-08T00:06:00Z,1211-1-1-0708,,device_not_recording
1720397220000,2024-07-08T00:07:00Z,1211-1-1-0708,,device_not_recording
1720397280000,2024-07-08T00:08:00Z,1211-1-1-0708,,device_not_recording
1720397340000,2024-07-08T00:09:00Z,1211-1-1-0708,,device_not_recording
1720397400000,2024-07-08T00:10:00Z,1211-1-1-0708,,device_not_recording
1720397460000,2024-07-08T00:11:00Z,1211-1-1-0708,,device_not_recording
1720397520000,2024-07-08T00:12:00Z,1211-1-1-0708,,device_not_recording
1720397580000,2024-07-08T00:13:00Z,1211-1-1-0708,,device_not_recording
1720397640000,2024-07-08T00:14:00Z,1211-1-1-0708,,device_not_recording
1720397700000,2024-07-08T00:15:00Z,1211-1-1-0708,,device_not_recording
1720397760000,2024-07-08T00:16:00Z,1211-1-1-0708,,device_not_recording
1720397820000,2024-07-08T00:17:00Z,1211-1-1-0708,,device_not_recording
1720397880000,2024-07-08T00:18:00Z,1211-1-1-0708,,device_not_recording
1720397940000,2024-07-08T00:19:00Z,1211-1-1-0708,,device_not_recording
1720398000000,2024-07-08T00:20:00Z,1211-1-1-0708,,device_not_recording
1720398060000,2024-07-08T00:21:00Z,1211-1-1-0708,,device_not_recording
1720398120000,2024-07-08T00:22:00Z,1211-1-1-0708,,device_not_recording
1720398180000,2024-07-08T00:23:00Z,1211-1-1-0708,,device_not_recording
1720398240000,2024-07-08T00:24:00Z,1211-1-1-0708,,device_not_recording
1720398300000,2024-07-08T00:25:00Z,1211-1-1-0708,,device_not_recording
1720398360000,2024-07-08T00:26:00Z,1211-1-1-0708,,device_not_recording
1720398420000,2024-07-08T00:27:00Z,1211-1-1-0708,,device_not_recording
1720398480000,2024-07-08T00:28:00Z,1211-1-1-0708,,device_not_recording
1720398540000,2024-07-08T00:29:00Z,1211-1-1-0708,,device_not_recording
1720398600000,2024-07-08T00:30:00Z,1211-1-1-0708,,device_not_recording
1720398660000,2024-07-08T00:31:00Z,1211-1-1-0708,,device_not_recording
1720398720000,2024-07-08T00:32:00Z,1211-1-1-0708,,device_not_recording
1720398780000,2024-07-08T00:33:00Z,1211-1-1-0708,,device_not_recording
1720398840000,2024-07-08T00:34:00Z,1211-1-1-0708,,device_not_recording
1720398900000,2024-07-08T00:35:00Z,1211-1-1-0708,,device_not_recording
1720398960000,2024-07-08T00:36:00Z,1211-1-1-0708,,device_not_recording
1720399020000,2024-07-08T00:37:00Z,1211-1-1-0708,,device_not_recording
1720399080000,2024-07-08T00:38:00Z,1211-1-1-0708,,device_not_recording
1720399140000,2024-07-08T00:39:00Z,1211-1-1-0708,,device_not_recording
1720399200000,2024-07-08T00:40:00Z,1211-1-1-0708,,device_not_recording
1720399260000,2024-07-08T00:41:00Z,1211-1-1-0708,,device_not_recording
1720399320000,2024-07-08T00:42:00Z,1211-1-1-0708,,device_not_recording
1720399380000,2024-07-08T00:43:00Z,1211-1-1-0708,,device_not_recording
1720399440000,2024-07-08T00:44:00Z,1211-1-1-0708,,device_not_recording
1720399500000,2024-07-08T00:45:00Z,1211-1-1-0708,,device_not_recording
1720399560000,2024-07-08T00:46:00Z,1211-1-1-0708,,device_not_recording
1720399620000,2024-07-08T00:47:00Z,1211-1-1-0708,,device_not_recording
1720399680000,2024-07-08T00:48:00Z,1211-1-1-0708,,device_not_recording
1720399740000,2024-07-08T00:49:00Z,1211-1-1-0708,,device_not_recording
1720399800000,2024-07-08T00:50:00Z,1211-1-1-0708,,device_not_recording
1720399860000,2024-07-08T00:51:00Z,1211-1-1-0708,,device_not_recording
1720399920000,2024-07-08T00:52:00Z,1211-1-1-0708,,device_not_recording
1720399980000,2024-07-08T00:53:00Z,1211-1-1-0708,,device_not_recording
1720400040000,2024-07-08T00:54:00Z,1211-1-1-0708,,device_not_recording
1720400100000,2024-07-08T00:55:00Z,1211-1-1-0708,,device_not_recording
1720400160000,2024-07-08T00:56:00Z,1211-1-1-0708,,device_not_recording
1720400220000,2024-07-08T00:57:00Z,1211-1-1-0708,,device_not_recording
1720400280000,2024-07-08T00:58:00Z,1211-1-1-0708,,device_not_recording
1720400340000,2024-07-08T00:59:00Z,1211-1-1-0708,,device_not_recording
1720400400000,2024-07-08T01:00:00Z,1211-1-1-0708,,device_not_recording
1720400460000,2024-07-08T01:01:00Z,1211-1-1-0708,,device_not_recording
1720400520000,2024-07-08T01:02:00Z,1211-1-1-0708,,device_not_recording
1720400580000,2024-07-08T01:03:00Z,1211-1-1-0708,,device_not_recording
1720400640000,2024-07-08T01:04:00Z,1211-1-1-0708,,device_not_recording
1720400700000,2024-07-08T01:05:00Z,1211-1-1-0708,,device_not_recording
1720400760000,2024-07-08T01:06:00Z,1211-1-1-0708,,device_not_recording
1720400820000,2024-07-08T01:07:00Z,1211-1-1-0708,,device_not_recording
1720400880000,2024-07-08T01:08:00Z,1211-1-1-0708,,device_not_recording
1720400940000,2024-07-08T01:09:00Z,1211-1-1-0708,,device_not_recording
1720401000000,2024-07-08T01:10:00Z,1211-1-1-0708,,device_not_recording
1720401060000,2024-07-08T01:11:00Z,1211-1-1-0708,,device_not_recording
1720401120000,2024-07-08T01:12:00Z,1211-1-1-0708,,device_not_recording
1720401180000,2024-07-08T01:13:00Z,1211-1-1-0708,,device_not_recording
1720401240000,2024-07-08T01:14:00Z,1211-1-1-0708,,device_not_recording
1720401300000,2024-07-08T01:15:00Z,1211-1-1-0708,,device_not_recording
1720401360000,2024-07-08T01:16:00Z,1211-1-1-0708,,device_not_recording
1720401420000,2024-07-08T01:17:00Z,1211-1-1-0708,,device_not_recording
1720401480000,2024-07-08T01:18:00Z,1211-1-1-0708,,device_not_recording
1720401540000,2024-07-08T01:19:00Z,1211-1-1-0708,,device_not_recording
1720401600000,2024-07-08T01:20:00Z,1211-1-1-0708,,device_not_recording
