time,x,x_zscore,x_tonic,x_phasic,y,y_zscore,y_tonic,y_phasic,z,z_zscore,z_tonic,z_phasic,page,rnd
1721066875.640912,1630.0,0.6967365108197148,0.6456802423567437,0.09478812832212313,393.0,-0.4091549140106961,0.14815956378347292,-0.7014163290722613,1229.0,0.4230389837497041,1.1893591927912541,-0.8810633864465804,PreMarketWait,1
1721066875.6565197,1625.0,0.18407685696293916,0.6419200028012911,-0.41384842574574177,413.0,1.7398737685239343,0.14643034729378931,1.4497125444475536,1218.0,-0.9203053760148228,1.1816285045195882,-2.2157048020653143,PreMarketWait,1
1721066875.6721275,1633.0,1.00433230313378,0.6381585423848747,0.41042853525347767,402.0,0.5579079931298876,0.14470649094108076,0.2698581294674599,1235.0,1.1557722708939915,1.1739001288510127,-0.13090937507370537,PreMarketWait,1
1721066875.687735,1620.0,-0.32858279689383646,0.634395992334445,-0.9184668075807056,392.0,-0.5166063481374276,0.1429880575460791,-0.802533693350501,1229.0,0.4230389837497041,1.16617432839459,-0.854910312772649,PreMarketWait,1
1721066875.703343,1637.0,1.4144600262192006,0.6306324838729466,0.8285938424640906,401.0,0.45045655900315607,0.14127510946641705,0.16666287786037692,1226.0,0.056672340177560426,1.158451365356616,-1.2125303055906695,PreMarketWait,1
1721066875.7189505,1621.0,-0.22605086612248132,0.626868148208518,-0.8079013257712866,405.0,0.8802622955100822,0.13956770859125753,0.5986134106127773,1229.0,0.4230389837497041,1.150731501519521,-0.8374029794802531,PreMarketWait,1
1721066875.734558,1625.0,0.18407685696293916,0.6231031165236921,-0.3937601538905312,385.0,-1.2687663870245482,0.13786591633597642,-1.5482593579884623,1233.0,0.9115278418458957,1.1430149982208255,-0.3401396780486251,PreMarketWait,1
1721066875.750166,1632.0,0.901800372362425,0.6193375199645971,0.3279743626013812,414.0,1.847325202650666,0.13616979363689938,1.5699992477690796,1229.0,0.4230389837497041,1.13530211633215,-0.8198406044530011,PreMarketWait,1
1721066875.7657735,1623.0,-0.020987004579771075,0.6155714896301615,-0.5908046332343106,388.0,-0.9464120846443537,0.1344794009460933,-1.2215599378956115,1212.0,-1.6530386631591103,1.1275931162382826,-2.887117105199604,PreMarketWait,1
1721066875.7813814,,,,,395.0,-0.19425204575723304,0.1327947982262135,-0.46721072950325926,1219.0,-0.798183161490775,1.1198882578163079,-2.0234475182211953,PreMarketWait,1
1721066875.796989,1613.0,-1.0463063122933223,0.6118051565613222,-1.612118351986008,391.0,-0.6240577822641591,0.1311160449454067,-0.8948162473855618,1220.0,-0.676060946966727,1.1121878004147985,-1.8924985559896146,PreMarketWait,1
1721066875.8125966,1621.0,-0.22605086612248132,0.6080386517302375,-0.7878602810170305,389.0,-0.8389606505176221,0.1294432000722709,-1.1075078677431605,1224.0,-0.1875720888705354,1.1044920028330734,-1.3951705659579616,PreMarketWait,1
1721066875.8282044,1632.0,0.901800372362425,0.6042721060295088,0.34399044623828057,402.0,0.5579079931298876,0.12777632207087253,0.291583032120421,1209.0,-2.019405306731254,1.0968011233005268,-3.218152547235178,PreMarketWait,1
1721066875.843812,1627.0,0.3891407185056494,0.6005056502614093,-0.1646730265693781,403.0,0.6653594272566191,0.12611546889582242,0.40126770871927564,1210.0,-1.8972830922072061,1.0891154194560282,-3.087167272461008,PreMarketWait,1
1721066875.8594198,1619.0,-0.43111472766519154,0.5967394151271229,-0.9809357709200703,385.0,-1.2687663870245482,0.12446069798740987,-1.5306139000212324,1211.0,-1.7751608776831582,1.0814351483273934,-2.9561704563943216,PreMarketWait,1
1721066875.8750274,1618.0,-0.5336466584365467,0.5929735312159933,-1.0794786504066227,,,,,1216.0,-1.1645498050629186,1.0737605663109338,-2.3366735246968013,PreMarketWait,1
1721066875.890635,1614.0,-0.9437743815219671,0.5892081289947863,-1.4856211438322289,385.0,-1.2687663870245482,0.12281206626679644,-1.5283587557331462,1223.0,-0.30969430339458326,1.066091929151082,-1.4729211915492568,PreMarketWait,1
1721066875.9062428,1609.0,-1.4564340353787428,0.5854433387969654,-1.9942995605116431,401.0,0.45045655900315607,0.12116963013126977,0.19313024786513033,1208.0,-2.141527521255302,1.0584294919200992,-3.2958468920274075,PreMarketWait,1
1721066875.9218504,1632.0,0.901800372362425,0.5816792908119807,0.36791192131459194,386.0,-1.1613149528978166,0.11953344544955814,-1.416364319801785,1212.0,-1.6530386631591103,1.0507735089978651,-2.7984401185006917,PreMarketWait,1
1721066875.9374583,1625.0,0.18407685696293916,0.5779161150745732,-0.34583885343889476,384.0,-1.3762178211512797,0.11790356755720632,-1.6289793849409817,1219.0,-0.798183161490775,1.0431242340517568,-1.9346565925570656,PreMarketWait,1
1721066875.9530659,1636.0,1.3119280954478456,0.5741539414540983,0.785980622184698,397.0,0.020650822496229994,0.11628005125201306,-0.22981210825677284,1221.0,-0.5539387324426791,1.0354819200166152,-1.6814743209307907,PreMarketWait,1
1721066875.9686735,1627.0,0.3891407185056494,0.5703928996438676,-0.13284319090040037,390.0,-0.7315092163908906,0.11466295078953107,-0.9796627143272456,1221.0,-0.5539387324426791,1.0278468190748034,-1.6725269519211592,PreMarketWait,1
1721066875.9842813,1637.0,1.4144600262192006,0.5666331191505123,0.8964348379238106,379.0,-1.9134749917849374,0.11305231987863013,-2.1593082884620762,1219.0,-0.798183161490775,1.0202191826363562,-1.9078147787199888,PreMarketWait,1
