HR,Sample,Timestamp,Time,1701384596
59,0,1701384596,17:49:56.00,1
58.5,1,1701384597,17:49:57.00,
67,2,1701384598,17:49:58.00,
70.75,3,1701384599,17:49:59.00,
72.8,4,1701384600,17:50:00.00,
88.33,5,1701384601,17:50:01.00,
98.71,6,1701384602,17:50:02.00,
106.25,7,1701384603,17:50:03.00,
112.33,8,1701384604,17:50:04.00,
114.7,9,1701384605,17:50:05.00,
116.64,10,1701384606,17:50:06.00,
118.33,11,1701384607,17:50:07.00,
119.77,12,1701384608,17:50:08.00,
119.86,13,1701384609,17:50:09.00,
120.13,14,1701384610,17:50:10.00,
120.38,15,1701384611,17:50:11.00,
120.59,16,1701384612,17:50:12.00,
120.78,17,1701384613,17:50:13.00,
120.95,18,1701384614,17:50:14.00,
121,19,1701384615,17:50:15.00,
121.05,20,1701384616,17:50:16.00,
121.14,21,1701384617,17:50:17.00,
121.26,22,1701384618,17:50:18.00,
121.33,23,1701384619,17:50:19.00,
121.44,24,1701384620,17:50:20.00,
121.58,25,1701384621,17:50:21.00,
121.52,26,1701384622,17:50:22.00,
121.18,27,1701384623,17:50:23.00,
120.45,28,1701384624,17:50:24.00,
119.83,29,1701384625,17:50:25.00,
119.29,30,1701384626,17:50:26.00,
118.78,31,1701384627,17:50:27.00,
118.33,32,1701384628,17:50:28.00,
117.97,33,1701384629,17:50:29.00,
117.69,34,1701384630,17:50:30.00,
117.44,35,1701384631,17:50:31.00,
117.27,36,1701384632,17:50:32.00,
117.47,37,1701384633,17:50:33.00,
117.64,38,1701384634,17:50:34.00,
117.9,39,1701384635,17:50:35.00,
118.2,40,1701384636,17:50:36.00,
118.5,41,1701384637,17:50:37.00,
118.79,42,1701384638,17:50:38.00,
119.07,43,1701384639,17:50:39.00,
119.24,44,1701384640,17:50:40.00,
119.3,45,1701384641,17:50:41.00,
119.21,46,1701384642,17:50:42.00,
119.06,47,1701384643,17:50:43.00,
118.92,48,1701384644,17:50:44.00,
118.72,49,1701384645,17:50:45.00,
118.51,50,1701384646,17:50:46.00,
118.23,51,1701384647,17:50:47.00,
117.89,52,1701384648,17:50:48.00,
117.61,53,1701384649,17:50:49.00,
117.33,54,1701384650,17:50:50.00,
117,55,1701384651,17:50:51.00,
116.75,56,1701384652,17:50:52.00,
116.5,57,1701384653,17:50:53.00,
116.05,58,1701384654,17:50:54.00,
115.65,59,1701384655,17:50:55.00,
