session,participant,part_label,clicked_button,round_number,final_cash,bonus,show-up,cash_plus_show,bonus_plus_show
8h0lckuw,3gcizzkv,65d942ce4ea2fe978c283416,1,33,6.44,9.54,12.0,18.44,21.54
8h0lckuw,jd7j4awn,5d453e8723a5bb0001492546,1,33,18.56,22.26,12.0,30.56,34.26
8h0lckuw,v04mphn3,5ed543442db0060a955d12e1,1,33,1.79,5.29,12.0,13.79,17.29
8h0lckuw,6b7fjowl,46Y,1,33,15.29,18.74,12.0,27.29,30.74
8h0lckuw,derjwt5u,5d012930cfeb82001817c9c9,1,33,3.27,5.27,12.0,15.27,17.27
8h0lckuw,b9zh2kol,24O,1,33,11.94,15.74,12.0,23.94,27.74
8h0lckuw,a9xoky1h,6558c5afa08ee83a08287f09,1,33,1.81,4.84,12.0,13.81,16.84
8h0lckuw,716x33zn,41X,1,33,7.0,10.75,12.0,19.0,22.75
8h0lckuw,mlv9qutg,6287a8c4a6303ff156cd0853,1,33,3.22,6.42,12.0,15.22,18.42
8h0lckuw,fzib88y3,5c1053202b16ba0001c86317,1,33,7.58,10.28,12.0,19.58,22.28
8h0lckuw,bt39ucvn,16W,1,33,6.92,10.12,12.0,18.92,22.12
8h0lckuw,4r69si1s,6480bdf6d433e2e158870605,1,33,1.07,4.26,12.0,13.07,16.26
8h0lckuw,scgp2zzw,59e7d3f97f3d71000171def0,1,33,10.92,14.82,12.0,22.92,26.82
8h0lckuw,3hucdghb,24Z,1,33,6.08,9.38,12.0,18.08,21.38
8h0lckuw,o2un372f,5d88db42c1d06e001a1fdcab,1,33,9.2,12.07,12.0,21.2,24.07
8h0lckuw,o1smf3j5,5ecd4acdb218ec085c6eefe6,1,33,1.59,4.11,12.0,13.59,16.11
8h0lckuw,zc2aypo5,77U,1,33,4.06,7.11,12.0,16.06,19.11
8h0lckuw,ikjpcmk9,76J,1,33,6.23,9.43,12.0,18.23,21.43
8h0lckuw,11pag8tb,6517301b6d21d25e19c7e501,1,33,7.41,9.41,12.0,19.41,21.41
8h0lckuw,d2wqwej0,63e537a4b33c1c72be91da82,1,33,0.34,3.16,12.0,12.34,15.16
8h0lckuw,gaw5a4ki,6234d77291179c1badffad36,1,33,0.21,2.62,12.0,12.21,14.62
8h0lckuw,4k6cvu2p,44J,0,33,0.0,0.0,12.0,12.0,12.0
8h0lckuw,mfngje4o,24I,0,33,0.0,0.0,12.0,12.0,12.0
8h0lckuw,rvta7rof,55W,0,33,0.0,0.0,12.0,12.0,12.0
8h0lckuw,yxyq8srf,73W,0,33,0.0,0.0,12.0,12.0,12.0
