participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.timeout,player.consent_given,player.quiz_1,player.quiz_2,player.quiz_3,player.quiz_4,player.quiz_5,player.quiz_1_init,player.quiz_2_init,player.quiz_3_init,player.quiz_4_init,player.quiz_5_init,player.quiz_grade,player.quiz_attempt,player.quiz_failed,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,mk9jobm9,643bd8390dc7e4b22596d52b,0,9,9,landingct,NoConsent,2024-09-24 15:35:20.027322,1,,,0.0,1,,0.0,0.0,1,2,2,210,110,14,2,2,200,105,14,3,3,0,1,1,2li95mg5,2024-09-24,,,Landing Page,0
2,nzpy86zq,65ca7d29af5b6440d955430a,0,9,9,landingct,NoConsent,2024-09-24 15:36:00.614796,1,,,0.0,2,,0.0,0.0,1,2,2,210,110,14,1,5,200,114,14,1,4,0,1,1,2li95mg5,2024-09-24,,,Landing Page,0
3,ztwcit3m,66a10bef1c9493801a2ba4db,0,9,9,landingct,NoConsent,2024-09-24 15:36:02.524929,1,,,0.0,3,,0.0,0.0,0,,,,,,,,,,,0,0,0,1,1,2li95mg5,2024-09-24,,,Landing Page,0
4,25thsksd,601b9077694f034f0092dd8f,0,9,9,landingct,NoConsent,2024-09-24 15:37:01.944723,1,,,0.0,4,,0.0,0.0,1,2,2,210,110,14,2,5,210,105,14,3,3,0,1,1,2li95mg5,2024-09-24,,,Landing Page,0
5,998nyxk6,6312ada1ce715ee3916c3748,0,9,9,landingct,NoConsent,2024-09-24 15:37:02.281073,1,,,0.0,5,,0.0,0.0,1,2,2,210,110,14,2,2,210,105,14,4,4,0,1,1,2li95mg5,2024-09-24,,,Landing Page,0
6,zv0fwtx5,5b82247316aa4400016aa924,0,9,9,landingct,NoConsent,2024-09-24 15:37:06.971659,1,,,0.0,6,,0.0,0.0,1,1,3,200,105,29,1,3,200,105,29,0,1,1,1,1,2li95mg5,2024-09-24,,,Landing Page,0
7,g8wx0co5,66b9f33eefc44e2ab90ade5a,0,9,9,landingct,NoConsent,2024-09-24 15:37:07.289142,1,,,0.0,7,,0.0,0.0,1,2,2,210,110,14,2,1,210,110,14,4,2,0,1,1,2li95mg5,2024-09-24,,,Landing Page,0
8,g6gng30u,60e49d8302404edb1e133168,0,9,9,landingct,NoConsent,2024-09-24 15:37:12.103283,1,,,0.0,8,,0.0,0.0,1,2,2,210,110,14,2,1,210,110,14,4,2,0,1,1,2li95mg5,2024-09-24,,,Landing Page,0
9,7jzv8173,5c197abc9bce3100018a4de9,0,9,9,landingct,NoConsent,2024-09-24 15:37:18.181454,1,,,0.0,9,,0.0,0.0,1,2,2,210,110,14,1,3,210,110,1,2,2,0,1,1,2li95mg5,2024-09-24,,,Landing Page,0
10,bt8q6dl8,6604659d90f32e434cb25d96,0,9,9,landingct,NoConsent,2024-09-24 15:37:18.923156,1,,,0.0,10,,0.0,0.0,1,2,2,210,110,14,2,2,200,105,29,2,2,0,1,1,2li95mg5,2024-09-24,,,Landing Page,0
11,97ge5irb,66b93ca6468b2cb25b039588,0,9,9,landingct,NoConsent,2024-09-24 15:37:20.623950,1,,,0.0,11,,0.0,0.0,0,,,,,,,,,,,0,0,0,1,1,2li95mg5,2024-09-24,,,Landing Page,0
12,086awc75,632dd45fb49858b31338c11c,0,9,9,landingct,NoConsent,2024-09-24 15:37:23.469704,1,,,0.0,12,,0.0,0.0,1,,,,,,,,,,,0,0,1,1,1,2li95mg5,2024-09-24,,,Landing Page,0
13,bufk7z5h,5ef0f81ea26aaf0af68a54a0,0,9,9,landingct,NoConsent,2024-09-24 15:37:25.144106,1,,,0.0,13,,0.0,0.0,0,,,,,,,,,,,0,0,0,1,1,2li95mg5,2024-09-24,,,Landing Page,0
14,ri8gy2pc,66329767cb85e95a0d3d9d55,0,9,9,landingct,NoConsent,2024-09-24 15:37:26.880686,1,,,0.0,14,,0.0,0.0,0,,,,,,,,,,,0,0,0,1,1,2li95mg5,2024-09-24,,,Landing Page,0
15,4rkf3gx4,5fd66ce8aec66457ff73d743,0,9,9,landingct,NoConsent,2024-09-24 15:37:31.169013,1,,,0.0,15,,0.0,0.0,1,2,2,210,110,14,2,1,200,100,29,1,3,0,1,1,2li95mg5,2024-09-24,,,Landing Page,0
16,gfse8hh8,66d73819c07bf253b9c183c7,0,9,9,landingct,NoConsent,2024-09-24 15:37:33.465939,1,,,0.0,16,,0.0,0.0,0,,,,,,,,,,,0,0,0,1,1,2li95mg5,2024-09-24,,,Landing Page,0
17,15qj6ywu,62d86c63e2966588c71b9ff2,0,9,9,landingct,NoConsent,2024-09-24 15:37:33.859374,1,,,0.0,17,,0.0,0.0,1,2,2,210,110,14,1,5,200,105,14,1,5,0,1,1,2li95mg5,2024-09-24,,,Landing Page,0
18,8wu5nlcg,615914a33224dc31f1045612,0,9,9,landingct,NoConsent,2024-09-24 15:37:35.123026,1,,,0.0,18,,0.0,0.0,1,,,,,,,,,,,0,0,1,1,1,2li95mg5,2024-09-24,,,Landing Page,0
