session,participant,part_label,round_number,type,quantity,price,quantity_final,original_quantity,automatic,timestamp,market_price,volume
cja13rkr,ktltsbvm,6312ada1ce715ee3916c3748,1,BUY,1,13.0,0,,0,10532,15.0,3
cja13rkr,ktltsbvm,6312ada1ce715ee3916c3748,1,BUY,4,13.0,0,,0,12855,15.0,3
cja13rkr,ktltsbvm,6312ada1ce715ee3916c3748,1,SELL,1,15.0,1,,0,15034,15.0,3
cja13rkr,avceru49,5fd66ce8aec66457ff73d743,1,BUY,5,12.0,0,,0,10276,15.0,3
cja13rkr,ymc9j9vj,60e49d8302404edb1e133168,1,BUY,2,15.0,2,,0,17726,15.0,3
cja13rkr,to2zab0i,601b9077694f034f0092dd8f,1,BUY,1,13.0,0,,0,10498,15.0,3
cja13rkr,xffqjhaj,668d4819f7ea48371e78223f,1,BUY,1,15.0,1,,0,13465,15.0,3
cja13rkr,xffqjhaj,668d4819f7ea48371e78223f,1,BUY,1,12.0,0,,0,19050,15.0,3
cja13rkr,kyd0c4ir,5c197abc9bce3100018a4de9,1,BUY,2,12.0,0,,0,17604,15.0,3
cja13rkr,p9rwstcm,62fbdda6e4b5a034b71296f8,1,BUY,2,13.0,0,,0,13810,15.0,3
cja13rkr,yxdim3bv,643bd8390dc7e4b22596d52b,1,BUY,1,12.0,0,,0,15107,15.0,3
cja13rkr,y7ad4wdb,662692c1abc4830626fccb23,1,BUY,1,14.0,0,,0,11106,15.0,3
cja13rkr,gvjjhq4h,66b9f33eefc44e2ab90ade5a,1,SELL,2,15.0,2,,0,15069,15.0,3
cja13rkr,ktltsbvm,6312ada1ce715ee3916c3748,2,SELL,1,17.0,0,,0,2189,16.0,8
cja13rkr,ktltsbvm,6312ada1ce715ee3916c3748,2,BUY,4,14.0,0,,0,6822,16.0,8
cja13rkr,ktltsbvm,6312ada1ce715ee3916c3748,2,BUY,3,16.0,3,,0,8478,16.0,8
cja13rkr,24ifp87v,62d86c63e2966588c71b9ff2,2,SELL,4,16.0,4,,0,13834,16.0,8
cja13rkr,24ifp87v,62d86c63e2966588c71b9ff2,2,BUY,3,13.0,0,,0,19990,16.0,8
cja13rkr,avceru49,5fd66ce8aec66457ff73d743,2,BUY,4,16.0,4,,0,2486,16.0,8
cja13rkr,avceru49,5fd66ce8aec66457ff73d743,2,SELL,2,18.0,0,,0,5037,16.0,8
cja13rkr,ymc9j9vj,60e49d8302404edb1e133168,2,BUY,1,15.0,0,,0,6988,16.0,8
cja13rkr,ymc9j9vj,60e49d8302404edb1e133168,2,BUY,1,15.0,0,,0,9052,16.0,8
cja13rkr,ymc9j9vj,60e49d8302404edb1e133168,2,BUY,1,15.0,0,,0,12212,16.0,8
cja13rkr,to2zab0i,601b9077694f034f0092dd8f,2,BUY,1,15.0,0,,0,8941,16.0,8
cja13rkr,xffqjhaj,668d4819f7ea48371e78223f,2,SELL,3,14.0,3,,0,14837,16.0,8
cja13rkr,kyd0c4ir,5c197abc9bce3100018a4de9,2,BUY,3,14.0,0,,0,13113,16.0,8
cja13rkr,yxdim3bv,643bd8390dc7e4b22596d52b,2,BUY,2,12.0,0,,0,14394,16.0,8
cja13rkr,y7ad4wdb,662692c1abc4830626fccb23,2,SELL,1,16.0,1,,0,11644,16.0,8
cja13rkr,y7ad4wdb,662692c1abc4830626fccb23,2,BUY,1,15.0,0,,0,18331,16.0,8
cja13rkr,gvjjhq4h,66b9f33eefc44e2ab90ade5a,2,BUY,2,15.0,0,,0,15361,16.0,8
cja13rkr,tu0dkodu,6604659d90f32e434cb25d96,2,BUY,2,16.0,1,,0,17317,16.0,8
cja13rkr,t4nr7lsi,5e0857276aab7c17f7e21662,2,BUY,5,15.0,0,,0,7270,16.0,8
cja13rkr,ktltsbvm,6312ada1ce715ee3916c3748,3,SELL,3,15.0,3,,0,7267,16.0,9
cja13rkr,ktltsbvm,6312ada1ce715ee3916c3748,3,SELL,1,19.0,0,,0,10889,16.0,9
cja13rkr,ktltsbvm,6312ada1ce715ee3916c3748,3,SELL,2,17.0,0,,0,11505,16.0,9
cja13rkr,ktltsbvm,6312ada1ce715ee3916c3748,3,BUY,4,13.0,0,,0,14614,16.0,9
cja13rkr,24ifp87v,62d86c63e2966588c71b9ff2,3,BUY,5,16.0,5,,0,14994,16.0,9
cja13rkr,avceru49,5fd66ce8aec66457ff73d743,3,BUY,2,14.0,0,,0,3833,16.0,9
cja13rkr,avceru49,5fd66ce8aec66457ff73d743,3,BUY,1,13.0,0,,0,19652,16.0,9
cja13rkr,ymc9j9vj,60e49d8302404edb1e133168,3,SELL,3,18.0,0,,0,8625,16.0,9
cja13rkr,ymc9j9vj,60e49d8302404edb1e133168,3,SELL,3,18.0,0,,0,11161,16.0,9
cja13rkr,to2zab0i,601b9077694f034f0092dd8f,3,BUY,1,18.0,1,,0,12202,16.0,9
cja13rkr,to2zab0i,601b9077694f034f0092dd8f,3,BUY,1,18.0,1,,0,17513,16.0,9
cja13rkr,xffqjhaj,668d4819f7ea48371e78223f,3,BUY,2,13.0,0,,0,11353,16.0,9
cja13rkr,kyd0c4ir,5c197abc9bce3100018a4de9,3,SELL,1,17.0,0,,0,10055,16.0,9
cja13rkr,p9rwstcm,62fbdda6e4b5a034b71296f8,3,SELL,4,16.0,4,,0,15415,16.0,9
cja13rkr,yxdim3bv,643bd8390dc7e4b22596d52b,3,SELL,2,16.0,2,,0,15908,16.0,9
cja13rkr,gvjjhq4h,66b9f33eefc44e2ab90ade5a,3,BUY,3,16.0,0,,0,13408,16.0,9
cja13rkr,tu0dkodu,6604659d90f32e434cb25d96,3,BUY,3,16.0,0,,0,12502,16.0,9
cja13rkr,tu0dkodu,6604659d90f32e434cb25d96,3,BUY,3,16.0,0,,0,18479,16.0,9
cja13rkr,t4nr7lsi,5e0857276aab7c17f7e21662,3,BUY,4,16.0,2,,0,5372,16.0,9
cja13rkr,ktltsbvm,6312ada1ce715ee3916c3748,4,BUY,4,16.0,3,,0,3098,16.0,3
cja13rkr,ktltsbvm,6312ada1ce715ee3916c3748,4,BUY,2,13.0,0,,0,15800,16.0,3
cja13rkr,24ifp87v,62d86c63e2966588c71b9ff2,4,BUY,5,14.0,0,,0,10558,16.0,3
cja13rkr,avceru49,5fd66ce8aec66457ff73d743,4,BUY,1,12.0,0,,0,3831,16.0,3
cja13rkr,avceru49,5fd66ce8aec66457ff73d743,4,BUY,4,15.0,0,,0,13778,16.0,3
cja13rkr,ymc9j9vj,60e49d8302404edb1e133168,4,BUY,2,13.0,0,,0,9073,16.0,3
cja13rkr,ymc9j9vj,60e49d8302404edb1e133168,4,BUY,2,13.0,0,,0,11203,16.0,3
cja13rkr,ymc9j9vj,60e49d8302404edb1e133168,4,BUY,1,13.0,0,,0,16626,16.0,3
cja13rkr,to2zab0i,601b9077694f034f0092dd8f,4,BUY,1,15.0,0,,0,6479,16.0,3
cja13rkr,xffqjhaj,668d4819f7ea48371e78223f,4,BUY,2,14.0,0,,0,14687,16.0,3
cja13rkr,xffqjhaj,668d4819f7ea48371e78223f,4,SELL,3,15.0,3,,0,17191,16.0,3
cja13rkr,kyd0c4ir,5c197abc9bce3100018a4de9,4,BUY,5,13.0,0,,0,11767,16.0,3
cja13rkr,p9rwstcm,62fbdda6e4b5a034b71296f8,4,BUY,5,14.0,0,,0,16910,16.0,3
cja13rkr,yxdim3bv,643bd8390dc7e4b22596d52b,4,BUY,1,13.0,0,,0,9392,16.0,3
cja13rkr,yxdim3bv,643bd8390dc7e4b22596d52b,4,BUY,1,12.0,0,,0,13553,16.0,3
cja13rkr,y7ad4wdb,662692c1abc4830626fccb23,4,SELL,1,17.0,0,,0,11505,16.0,3
cja13rkr,gvjjhq4h,66b9f33eefc44e2ab90ade5a,4,BUY,3,14.0,0,,0,12506,16.0,3
cja13rkr,gvjjhq4h,66b9f33eefc44e2ab90ade5a,4,BUY,1,14.0,0,,0,19398,16.0,3
cja13rkr,tu0dkodu,6604659d90f32e434cb25d96,4,BUY,1,14.0,0,,0,10909,16.0,3
cja13rkr,t4nr7lsi,5e0857276aab7c17f7e21662,4,BUY,5,15.0,0,,0,15393,16.0,3
cja13rkr,ktltsbvm,6312ada1ce715ee3916c3748,5,BUY,3,17.0,3,,0,4222,17.0,10
cja13rkr,ktltsbvm,6312ada1ce715ee3916c3748,5,SELL,1,20.0,0,,0,12139,17.0,10
cja13rkr,24ifp87v,62d86c63e2966588c71b9ff2,5,SELL,1,16.0,1,,0,12373,17.0,10
cja13rkr,avceru49,5fd66ce8aec66457ff73d743,5,BUY,1,14.0,0,,0,5048,17.0,10
cja13rkr,avceru49,5fd66ce8aec66457ff73d743,5,BUY,2,13.0,0,,0,7574,17.0,10
cja13rkr,avceru49,5fd66ce8aec66457ff73d743,5,SELL,3,15.0,3,,0,15060,17.0,10
cja13rkr,ymc9j9vj,60e49d8302404edb1e133168,5,BUY,3,16.0,0,,0,4453,17.0,10
cja13rkr,to2zab0i,601b9077694f034f0092dd8f,5,BUY,2,19.0,2,,0,4170,17.0,10
cja13rkr,xffqjhaj,668d4819f7ea48371e78223f,5,BUY,3,15.0,0,,0,11683,17.0,10
cja13rkr,kyd0c4ir,5c197abc9bce3100018a4de9,5,BUY,2,14.0,0,,0,14283,17.0,10
cja13rkr,kyd0c4ir,5c197abc9bce3100018a4de9,5,SELL,2,16.0,2,,0,19813,17.0,10
cja13rkr,p9rwstcm,62fbdda6e4b5a034b71296f8,5,BUY,4,16.0,0,,0,10062,17.0,10
cja13rkr,yxdim3bv,643bd8390dc7e4b22596d52b,5,SELL,1,16.0,1,,0,19877,17.0,10
cja13rkr,y7ad4wdb,662692c1abc4830626fccb23,5,SELL,1,18.0,0,,0,17303,17.0,10
cja13rkr,gvjjhq4h,66b9f33eefc44e2ab90ade5a,5,SELL,3,17.0,3,,0,8338,17.0,10
cja13rkr,tu0dkodu,6604659d90f32e434cb25d96,5,BUY,5,16.0,0,,0,8851,17.0,10
cja13rkr,t4nr7lsi,5e0857276aab7c17f7e21662,5,BUY,5,18.0,5,,0,6704,17.0,10
cja13rkr,ktltsbvm,6312ada1ce715ee3916c3748,6,BUY,1,15.0,0,,0,11301,17.0,8
cja13rkr,ktltsbvm,6312ada1ce715ee3916c3748,6,SELL,5,18.0,0,,0,16379,17.0,8
cja13rkr,24ifp87v,62d86c63e2966588c71b9ff2,6,SELL,3,17.0,3,,0,9479,17.0,8
cja13rkr,24ifp87v,62d86c63e2966588c71b9ff2,6,BUY,5,16.0,0,,0,15448,17.0,8
