participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.timeout,player.consent_given,player.quiz_1,player.quiz_2,player.quiz_3,player.quiz_4,player.quiz_5,player.quiz_1_init,player.quiz_2_init,player.quiz_3_init,player.quiz_4_init,player.quiz_5_init,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,ohk0tj11,40C,0,7,7,landingct,ReadyToStart,2024-03-14 17:22:08.985320,1,,,0.0,1,,0.0,0.0,0,,,,,,,,,,,1,1,p8o5jogt,2024-03-14 landing,,,Landing Page,0
2,sgibs1kg,75T,0,6,7,landingct,WaitForPlayers,2024-03-14 17:22:37.722554,1,,,0.0,2,,0.0,0.0,0,,,,,,,,,,,1,1,p8o5jogt,2024-03-14 landing,,,Landing Page,0
3,4yn97532,646f77d9a7d75c8264dba865,0,7,7,landingct,ReadyToStart,2024-03-14 17:27:28.420709,1,,,0.0,3,,0.0,0.0,1,2,2,210,110,56,2,2,210,110,116,1,1,p8o5jogt,2024-03-14 landing,,,Landing Page,0
4,odpv9xa4,65c128df79c460e6c2c07adc,0,7,7,landingct,ReadyToStart,2024-03-14 17:29:03.440902,1,,,0.0,4,,0.0,0.0,1,2,2,210,110,56,2,2,200,100,116,1,1,p8o5jogt,2024-03-14 landing,,,Landing Page,0
5,8y2po5os,615252fe3ac6a44f68bdc779,0,7,7,landingct,ReadyToStart,2024-03-14 17:29:39.578848,1,,,0.0,5,,0.0,0.0,1,2,2,210,110,56,1,2,200,105,29,1,1,p8o5jogt,2024-03-14 landing,,,Landing Page,0
6,45r7cdu7,564d1fedb48dec0005b5191d,0,7,7,landingct,ReadyToStart,2024-03-14 17:30:27.110783,1,,,0.0,6,,0.0,0.0,1,2,2,210,110,56,2,5,210,105,56,1,1,p8o5jogt,2024-03-14 landing,,,Landing Page,0
7,ea2ts3od,5669ac845bd4ff0011159b4a,0,7,7,landingct,ReadyToStart,2024-03-14 17:30:29.855677,1,,,0.0,7,,0.0,0.0,1,2,2,210,110,56,2,2,200,110,29,1,1,p8o5jogt,2024-03-14 landing,,,Landing Page,0
8,j14eo3ts,600f9342e7bc5518fa9ca92a,0,7,7,landingct,ReadyToStart,2024-03-14 17:30:36.347819,1,,,0.0,8,,0.0,0.0,1,2,2,210,110,56,2,2,200,105,4,1,1,p8o5jogt,2024-03-14 landing,,,Landing Page,0
9,tmh1x06f,5f7529755aaa0e1a6e804640,0,7,7,landingct,ReadyToStart,2024-03-14 17:30:38.683182,1,,,0.0,9,,0.0,0.0,1,2,2,210,110,56,2,3,210,114,116,1,1,p8o5jogt,2024-03-14 landing,,,Landing Page,0
10,h3zl2o8o,5ef4d8b87faaa00c0dea0c4e,0,6,7,landingct,WaitForPlayers,2024-03-14 17:30:39.720576,1,,,0.0,10,,0.0,0.0,1,,,,,,,,,,,1,1,p8o5jogt,2024-03-14 landing,,,Landing Page,0
11,vizln4hj,657322bd0c81d1e8853d38e8,0,7,7,landingct,ReadyToStart,2024-03-14 17:30:46.384048,1,,,0.0,11,,0.0,0.0,1,2,2,210,110,56,2,2,210,110,116,1,1,p8o5jogt,2024-03-14 landing,,,Landing Page,0
12,q0sedx4t,56f9364e895094000c8f4967,0,7,7,landingct,ReadyToStart,2024-03-14 17:30:51.377856,1,,,0.0,12,,0.0,0.0,1,2,2,210,110,56,2,5,210,110,116,1,1,p8o5jogt,2024-03-14 landing,,,Landing Page,0
13,2pey30a6,568e7e33e3ef9e000da202a7,0,7,7,landingct,ReadyToStart,2024-03-14 17:30:56.782734,1,,,0.0,13,,0.0,0.0,1,2,2,210,110,56,1,1,200,100,29,1,1,p8o5jogt,2024-03-14 landing,,,Landing Page,0
14,zlmla1jf,65a2bc0d60b1e46f4e1d3cc8,0,7,7,landingct,ReadyToStart,2024-03-14 17:31:02.055690,1,,,0.0,14,,0.0,0.0,1,2,2,210,110,56,2,5,210,110,116,1,1,p8o5jogt,2024-03-14 landing,,,Landing Page,0
15,6zgi4802,5c3151aa0cfe9a00012f6f3f,0,7,7,landingct,ReadyToStart,2024-03-14 17:31:02.159214,1,,,0.0,15,,0.0,0.0,1,2,2,210,110,56,1,3,205,110,56,1,1,p8o5jogt,2024-03-14 landing,,,Landing Page,0
16,7nkeef3o,60ff7c8f4f066ccf6fe05587,0,7,7,landingct,ReadyToStart,2024-03-14 17:31:33.050528,1,,,0.0,16,,0.0,0.0,1,2,2,210,110,56,1,2,200,105,116,1,1,p8o5jogt,2024-03-14 landing,,,Landing Page,0
17,onmnijbl,6554ea58c859388bc801973c,0,7,7,landingct,ReadyToStart,2024-03-14 17:32:57.185275,1,,,0.0,17,,0.0,0.0,1,2,2,210,110,56,1,2,210,105,4,1,1,p8o5jogt,2024-03-14 landing,,,Landing Page,0
18,1rhmow5h,81F,0,7,7,landingct,ReadyToStart,2024-03-14 17:36:12.963992,1,,,0.0,18,,0.0,0.0,1,1,2,210,110,56,1,1,210,110,56,1,1,p8o5jogt,2024-03-14 landing,,,Landing Page,0
19,flxo66sk,44L,0,7,7,landingct,ReadyToStart,2024-03-14 17:36:13.485018,1,,,0.0,19,,0.0,0.0,1,2,2,210,110,56,2,2,210,110,116,1,1,p8o5jogt,2024-03-14 landing,,,Landing Page,0
20,pawrhxk2,90H,0,7,7,landingct,ReadyToStart,2024-03-14 17:37:07.555255,1,,,0.0,20,,0.0,0.0,1,2,2,210,110,56,2,5,210,110,116,1,1,p8o5jogt,2024-03-14 landing,,,Landing Page,0
21,gbo3dhb4,60X,0,7,7,landingct,ReadyToStart,2024-03-14 17:39:18.325883,1,,,0.0,21,,0.0,0.0,1,2,2,210,110,56,2,2,210,110,116,1,1,p8o5jogt,2024-03-14 landing,,,Landing Page,0
22,77fkrn0m,10Q,0,7,7,landingct,ReadyToStart,2024-03-14 17:39:40.080734,1,,,0.0,22,,0.0,0.0,1,2,2,210,110,56,2,2,210,110,56,1,1,p8o5jogt,2024-03-14 landing,,,Landing Page,0
23,mo54ym8h,67V,0,7,7,landingct,ReadyToStart,2024-03-14 17:42:25.691829,1,,,0.0,23,,0.0,0.0,1,2,2,210,110,56,1,1,210,110,116,1,1,p8o5jogt,2024-03-14 landing,,,Landing Page,0
24,iqvez1iy,28W,0,6,7,landingct,WaitForPlayers,2024-03-14 17:51:46.773773,1,,,0.0,24,,0.0,0.0,0,,,,,,,,,,,1,1,p8o5jogt,2024-03-14 landing,,,Landing Page,0
25,ax61r894,81L,0,6,7,landingct,WaitForPlayers,2024-03-14 17:51:46.785185,1,,,0.0,25,,0.0,0.0,0,,,,,,,,,,,1,1,p8o5jogt,2024-03-14 landing,,,Landing Page,0
