HR,Sample,Timestamp,Time,1709836135
55,0,1709836135.00,13:28:55.00,1
82,1,1709836136.00,13:28:56.00,
73,2,1709836137.00,13:28:57.00,
68.5,3,1709836138.00,13:28:58.00,
65.8,4,1709836139.00,13:28:59.00,
69.5,5,1709836140.00,13:29:00.00,
72.29,6,1709836141.00,13:29:01.00,
74.25,7,1709836142.00,13:29:02.00,
74.67,8,1709836143.00,13:29:03.00,
75.1,9,1709836144.00,13:29:04.00,
75.45,10,1709836145.00,13:29:05.00,
75.5,11,1709836146.00,13:29:06.00,
75.54,12,1709836147.00,13:29:07.00,
75.5,13,1709836148.00,13:29:08.00,
75.4,14,1709836149.00,13:29:09.00,
74.94,15,1709836150.00,13:29:10.00,
74.59,16,1709836151.00,13:29:11.00,
74.17,17,1709836152.00,13:29:12.00,
73.89,18,1709836153.00,13:29:13.00,
73.7,19,1709836154.00,13:29:14.00,
73.57,20,1709836155.00,13:29:15.00,
73.5,21,1709836156.00,13:29:16.00,
73.52,22,1709836157.00,13:29:17.00,
73.79,23,1709836158.00,13:29:18.00,
74,24,1709836159.00,13:29:19.00,
74.19,25,1709836160.00,13:29:20.00,
74.33,26,1709836161.00,13:29:21.00,
74.46,27,1709836162.00,13:29:22.00,
74.62,28,1709836163.00,13:29:23.00,
74.8,29,1709836164.00,13:29:24.00,
75,30,1709836165.00,13:29:25.00,
75.19,31,1709836166.00,13:29:26.00,
75.36,32,1709836167.00,13:29:27.00,
75.56,33,1709836168.00,13:29:28.00,
75.71,34,1709836169.00,13:29:29.00,
75.86,35,1709836170.00,13:29:30.00,
75.95,36,1709836171.00,13:29:31.00,
76,37,1709836172.00,13:29:32.00,
76.05,38,1709836173.00,13:29:33.00,
76.1,39,1709836174.00,13:29:34.00,
76.17,40,1709836175.00,13:29:35.00,
76.24,41,1709836176.00,13:29:36.00,
76.3,42,1709836177.00,13:29:37.00,
76.36,43,1709836178.00,13:29:38.00,
76.49,44,1709836179.00,13:29:39.00,
76.59,45,1709836180.00,13:29:40.00,
76.68,46,1709836181.00,13:29:41.00,
76.71,47,1709836182.00,13:29:42.00,
76.71,48,1709836183.00,13:29:43.00,
