Temp,Sample,Timestamp,Time,1709836125
31.89,144,1709836161.00,13:29:21.00,
31.89,145,1709836161.25,13:29:21.25,
31.89,146,1709836161.50,13:29:21.50,
31.89,147,1709836161.75,13:29:21.75,
31.87,148,1709836162.00,13:29:22.00,
31.87,149,1709836162.25,13:29:22.25,
31.87,150,1709836162.50,13:29:22.50,
31.87,151,1709836162.75,13:29:22.75,
31.91,152,1709836163.00,13:29:23.00,
31.91,153,1709836163.25,13:29:23.25,
31.91,154,1709836163.50,13:29:23.50,
31.91,155,1709836163.75,13:29:23.75,
31.91,156,1709836164.00,13:29:24.00,
31.91,157,1709836164.25,13:29:24.25,
31.91,158,1709836164.50,13:29:24.50,
31.91,159,1709836164.75,13:29:24.75,
31.89,160,1709836165.00,13:29:25.00,
31.89,161,1709836165.25,13:29:25.25,
31.89,162,1709836165.50,13:29:25.50,
31.89,163,1709836165.75,13:29:25.75,
31.93,164,1709836166.00,13:29:26.00,
31.93,165,1709836166.25,13:29:26.25,
31.93,166,1709836166.50,13:29:26.50,
31.93,167,1709836166.75,13:29:26.75,
31.93,168,1709836167.00,13:29:27.00,
31.93,169,1709836167.25,13:29:27.25,
31.93,170,1709836167.50,13:29:27.50,
31.93,171,1709836167.75,13:29:27.75,
31.91,172,1709836168.00,13:29:28.00,
31.91,173,1709836168.25,13:29:28.25,
31.91,174,1709836168.50,13:29:28.50,
31.91,175,1709836168.75,13:29:28.75,
31.91,176,1709836169.00,13:29:29.00,
31.91,177,1709836169.25,13:29:29.25,
31.91,178,1709836169.50,13:29:29.50,
31.91,179,1709836169.75,13:29:29.75,
31.91,180,1709836170.00,13:29:30.00,
31.91,181,1709836170.25,13:29:30.25,
31.91,182,1709836170.50,13:29:30.50,
31.91,183,1709836170.75,13:29:30.75,
31.95,184,1709836171.00,13:29:31.00,
31.95,185,1709836171.25,13:29:31.25,
31.95,186,1709836171.50,13:29:31.50,
31.95,187,1709836171.75,13:29:31.75,
31.91,188,1709836172.00,13:29:32.00,
31.91,189,1709836172.25,13:29:32.25,
31.91,190,1709836172.50,13:29:32.50,
31.91,191,1709836172.75,13:29:32.75,
31.93,192,1709836173.00,13:29:33.00,
31.93,193,1709836173.25,13:29:33.25,
31.93,194,1709836173.50,13:29:33.50,
31.93,195,1709836173.75,13:29:33.75,
31.93,196,1709836174.00,13:29:34.00,
31.93,197,1709836174.25,13:29:34.25,
31.93,198,1709836174.50,13:29:34.50,
31.93,199,1709836174.75,13:29:34.75,
31.93,200,1709836175.00,13:29:35.00,
31.93,201,1709836175.25,13:29:35.25,
31.93,202,1709836175.50,13:29:35.50,
31.93,203,1709836175.75,13:29:35.75,
31.93,204,1709836176.00,13:29:36.00,
31.93,205,1709836176.25,13:29:36.25,
31.93,206,1709836176.50,13:29:36.50,
31.93,207,1709836176.75,13:29:36.75,
31.97,208,1709836177.00,13:29:37.00,
31.97,209,1709836177.25,13:29:37.25,
31.97,210,1709836177.50,13:29:37.50,
31.97,211,1709836177.75,13:29:37.75,
31.97,212,1709836178.00,13:29:38.00,
31.97,213,1709836178.25,13:29:38.25,
31.97,214,1709836178.50,13:29:38.50,
31.97,215,1709836178.75,13:29:38.75,
31.97,216,1709836179.00,13:29:39.00,
31.97,217,1709836179.25,13:29:39.25,
31.97,218,1709836179.50,13:29:39.50,
31.97,219,1709836179.75,13:29:39.75,
31.97,220,1709836180.00,13:29:40.00,
31.97,221,1709836180.25,13:29:40.25,
31.97,222,1709836180.50,13:29:40.50,
31.97,223,1709836180.75,13:29:40.75,
31.97,224,1709836181.00,13:29:41.00,
31.97,225,1709836181.25,13:29:41.25,
31.97,226,1709836181.50,13:29:41.50,
31.97,227,1709836181.75,13:29:41.75,
31.97,228,1709836182.00,13:29:42.00,
31.97,229,1709836182.25,13:29:42.25,
31.97,230,1709836182.50,13:29:42.50,
31.97,231,1709836182.75,13:29:42.75,
31.95,232,1709836183.00,13:29:43.00,
31.95,233,1709836183.25,13:29:43.25,
31.95,234,1709836183.50,13:29:43.50,
31.95,235,1709836183.75,13:29:43.75,
31.99,236,1709836184.00,13:29:44.00,
31.99,237,1709836184.25,13:29:44.25,
31.99,238,1709836184.50,13:29:44.50,
31.99,239,1709836184.75,13:29:44.75,
31.99,240,1709836185.00,13:29:45.00,
31.99,241,1709836185.25,13:29:45.25,
31.99,242,1709836185.50,13:29:45.50,
31.99,243,1709836185.75,13:29:45.75,
31.99,244,1709836186.00,13:29:46.00,
31.99,245,1709836186.25,13:29:46.25,
31.99,246,1709836186.50,13:29:46.50,
31.99,247,1709836186.75,13:29:46.75,
31.99,248,1709836187.00,13:29:47.00,
31.99,249,1709836187.25,13:29:47.25,
31.99,250,1709836187.50,13:29:47.50,
31.99,251,1709836187.75,13:29:47.75,
31.99,252,1709836188.00,13:29:48.00,
31.99,253,1709836188.25,13:29:48.25,
31.99,254,1709836188.50,13:29:48.50,
31.99,255,1709836188.75,13:29:48.75,
31.99,256,1709836189.00,13:29:49.00,
31.99,257,1709836189.25,13:29:49.25,
31.99,258,1709836189.50,13:29:49.50,
31.99,259,1709836189.75,13:29:49.75,
32.03,260,1709836190.00,13:29:50.00,
32.03,261,1709836190.25,13:29:50.25,
32.03,262,1709836190.50,13:29:50.50,
32.03,263,1709836190.75,13:29:50.75,
32,264,1709836191.00,13:29:51.00,
32,265,1709836191.25,13:29:51.25,
32,266,1709836191.50,13:29:51.50,
32,267,1709836191.75,13:29:51.75,
32,268,1709836192.00,13:29:52.00,
32,269,1709836192.25,13:29:52.25,
32,270,1709836192.50,13:29:52.50,
32,271,1709836192.75,13:29:52.75,
32.05,272,1709836193.00,13:29:53.00,
32.05,273,1709836193.25,13:29:53.25,
32.05,274,1709836193.50,13:29:53.50,
32.05,275,1709836193.75,13:29:53.75,
32.03,276,1709836194.00,13:29:54.00,
32.03,277,1709836194.25,13:29:54.25,
32.03,278,1709836194.50,13:29:54.50,
32.03,279,1709836194.75,13:29:54.75,
32,280,1709836195.00,13:29:55.00,
32,281,1709836195.25,13:29:55.25,
32,282,1709836195.50,13:29:55.50,
32,283,1709836195.75,13:29:55.75,
32.05,284,1709836196.00,13:29:56.00,
32.05,285,1709836196.25,13:29:56.25,
32.05,286,1709836196.50,13:29:56.50,
32.05,287,1709836196.75,13:29:56.75,
32.07,288,1709836197.00,13:29:57.00,
32.07,289,1709836197.25,13:29:57.25,
32.07,290,1709836197.50,13:29:57.50,
32.07,291,1709836197.75,13:29:57.75,
32.03,292,1709836198.00,13:29:58.00,
32.03,293,1709836198.25,13:29:58.25,
32.03,294,1709836198.50,13:29:58.50,
32.03,295,1709836198.75,13:29:58.75,
32.09,296,1709836199.00,13:29:59.00,
32.09,297,1709836199.25,13:29:59.25,
32.09,298,1709836199.50,13:29:59.50,
32.09,299,1709836199.75,13:29:59.75,
32.07,300,1709836200.00,13:30:00.00,
32.07,301,1709836200.25,13:30:00.25,
32.07,302,1709836200.50,13:30:00.50,
32.07,303,1709836200.75,13:30:00.75,
32.09,304,1709836201.00,13:30:01.00,
32.09,305,1709836201.25,13:30:01.25,
