session,participant,part_label,clicked_button,market_bonus,forecast_bonus,risk_bonus,quiz_bonus,total_bonus,showup,total_payment
6m5mt63h,s0gocbhf,588e02b13326830001bc29cd,1,17.75,0.56,1.85,0.5,20.66,12.0,32.66
6m5mt63h,ex1jppgp,66ca889632a6b5e4f4d0acf7,1,20.72,1.0,0.9,0.5,23.12,12.0,35.12
6m5mt63h,88va68nt,5a233c5d7413810001521d8f,1,17.8,0.25,0.8,1.0,19.85,12.0,31.85
6m5mt63h,9un1vyuj,5f6b8930b9d9530b1b065360,1,18.43,0.44,0.98,1.0,20.85,12.0,32.85
6m5mt63h,44t81om9,66e0813b79955faf3b6017c3,1,16.83,0.19,1.0,0.25,18.27,12.0,30.27
6m5mt63h,we5rejuk,593444cd7f60d200011e5798,1,14.34,0.56,1.05,0.5,16.45,12.0,28.45
6m5mt63h,scv6t6x9,5f1dea279f4818757f07f087,1,17.63,0.13,1.03,0.75,19.54,12.0,31.54
6m5mt63h,y7qj3d1k,66980b6dfb93bb2506774ca2,1,15.56,0.38,1.88,0.25,18.07,12.0,30.07
6m5mt63h,05w68fbg,66d6270bd714afb013bc3285,1,16.59,0.06,0.98,0.25,17.88,12.0,29.88
6m5mt63h,0j19iich,66e44443d5be0907ea259fbf,1,18.32,0.63,0.18,0.75,19.88,12.0,31.88
6m5mt63h,uyutepc6,66d0c3a4c8f7599ecaa1a1eb,1,15.19,0.19,0.18,0.25,15.81,12.0,27.81
6m5mt63h,zxz15squ,66a8943bc033e1485a6331a1,1,16.88,0.13,0.18,0.25,17.44,12.0,29.44
6m5mt63h,bn9e2r54,6679e55e2c98136f0c4e71ea,1,15.99,0.0,1.88,0.5,18.37,12.0,30.37
6m5mt63h,wg7m8zjy,6110b901d3037af4edb435c5,1,17.13,0.31,0.85,0.5,18.79,12.0,30.79
6m5mt63h,4j0y2dtd,615dbec57d764bf5ab0a56e5,1,17.52,0.38,0.95,0.5,19.35,12.0,31.35
6m5mt63h,txf2p4l9,631659ad8e5354f16aef7249,1,19.04,0.5,0.78,0.75,21.07,12.0,33.07
6m5mt63h,ra67jg28,669bcbcb713273ad835961a0,1,15.54,0.38,1.0,1.25,18.17,12.0,30.17
6m5mt63h,sqh63nmg,6m5mt63h_64P,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
6m5mt63h,7lntcay2,6m5mt63h_24L,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
6m5mt63h,r2qw8h3m,6m5mt63h_08E,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
6m5mt63h,geone1tq,6m5mt63h_85L,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
6m5mt63h,oalmfn72,6m5mt63h_54W,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
6m5mt63h,tzfimuur,6m5mt63h_55R,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
6m5mt63h,crtjom3f,6m5mt63h_79J,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
6m5mt63h,owyttt2t,6m5mt63h_69Z,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
6m5mt63h,pljgvxjj,6m5mt63h_05J,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
6m5mt63h,0rgoaq08,6m5mt63h_90A,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
6m5mt63h,ko8pb2bm,6m5mt63h_43O,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
6m5mt63h,imuvrp1j,6m5mt63h_35U,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
6m5mt63h,iswirtm4,6m5mt63h_62Q,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
